Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201506,June 2015,0,0,2,Exports,975,ASEAN,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,76806380068,,,0
HS,2017,201706,June 2017,0,0,1,Imports,975,ASEAN,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,154021921711,,,0
HS,2019,201901,January 2019,0,0,1,Imports,975,ASEAN,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,97574829218,,,0
HS,2017,201709,September 2017,0,0,1,Imports,975,ASEAN,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,77683313121,,,0
HS,2020,202006,June 2020,0,0,1,Imports,975,ASEAN,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,76190958498,,,0
HS,2020,202006,June 2020,0,0,2,Exports,975,ASEAN,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,86445471509,,,0
HS,2020,202012,December 2020,0,0,2,Exports,975,ASEAN,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,104803488670,,,0
HS,2020,202012,December 2020,0,0,1,Imports,975,ASEAN,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,97407658995,,,0
HS,2020,202010,October 2020,0,0,1,Imports,975,ASEAN,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,85838849360,,,0
HS,2020,202011,November 2020,0,0,2,Exports,975,ASEAN,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,95594476312,,,0
HS,2018,201802,February 2018,0,0,2,Exports,975,ASEAN,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,79467598888,,,0
HS,2019,201906,June 2019,0,0,1,Imports,975,ASEAN,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,83450793431,,,0
HS,2019,201906,June 2019,0,0,2,Exports,975,ASEAN,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,87291234678,,,0
HS,2020,202011,November 2020,0,0,1,Imports,975,ASEAN,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,90321322392,,,0
HS,2020,202009,September 2020,0,0,2,Exports,975,ASEAN,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,98959052600,,,0
