Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2012,201201,January 2012,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,345975920,,,0
HS,2012,201201,January 2012,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,125710101,,,0
HS,2012,201202,February 2012,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,354192626,,,0
HS,2012,201202,February 2012,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,144225049,,,0
HS,2012,201203,March 2012,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,419414915,,,0
HS,2012,201203,March 2012,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,158155280,,,0
HS,2012,201204,April 2012,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,375685314,,,0
HS,2012,201204,April 2012,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,169210473,,,0
HS,2012,201205,May 2012,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,407276682,,,0
HS,2012,201205,May 2012,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,177554609,,,0
HS,2012,201206,June 2012,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,418169390,,,0
HS,2012,201206,June 2012,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,160219680,,,0
HS,2012,201207,July 2012,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,426963547,,,0
HS,2012,201207,July 2012,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,175101903,,,0
HS,2012,201208,August 2012,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,412074843,,,0
HS,2012,201208,August 2012,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,156946316,,,0
HS,2012,201209,September 2012,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,430232820,,,0
HS,2012,201209,September 2012,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,177675742,,,0
HS,2012,201210,October 2012,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,432568973,,,0
HS,2012,201210,October 2012,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,176552145,,,0
HS,2012,201211,November 2012,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,418092319,,,0
HS,2012,201211,November 2012,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,178524390,,,0
HS,2012,201212,December 2012,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,439191622,,,0
HS,2012,201212,December 2012,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,168043502,,,0
HS,2013,201301,January 2013,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,325411963,,,0
HS,2013,201301,January 2013,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,172704050,,,0
HS,2013,201302,February 2013,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,318788809,,,0
HS,2013,201302,February 2013,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,151645712,,,0
HS,2013,201303,March 2013,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,354077585,,,0
HS,2013,201303,March 2013,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,178699044,,,0
HS,2014,201401,January 2014,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,338131609,,,0
HS,2014,201401,January 2014,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,173080366,,,0
HS,2014,201402,February 2014,0,0,1,Imports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,379900505,,,0
HS,2014,201402,February 2014,0,0,2,Exports,8,Albania,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,197523416,,,0
