Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3087715432,,,0
HS,2010,201001,January 2010,0,0,2,Exports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5393538438,,,0
HS,2010,201002,February 2010,0,0,1,Imports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3202313398,,,0
HS,2010,201002,February 2010,0,0,2,Exports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6365318926,,,0
HS,2010,201003,March 2010,0,0,1,Imports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3588589143,,,0
HS,2010,201003,March 2010,0,0,2,Exports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5146079029,,,0
HS,2010,201004,April 2010,0,0,1,Imports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3605884171,,,0
HS,2010,201004,April 2010,0,0,2,Exports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5427248343,,,0
HS,2010,201005,May 2010,0,0,1,Imports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3414163126,,,0
HS,2010,201005,May 2010,0,0,2,Exports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5030243445,,,0
HS,2010,201006,June 2010,0,0,1,Imports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3163621406,,,0
HS,2010,201006,June 2010,0,0,2,Exports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3820723935,,,0
HS,2010,201007,July 2010,0,0,1,Imports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3118729512,,,0
HS,2010,201007,July 2010,0,0,2,Exports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4479852452,,,0
HS,2010,201008,August 2010,0,0,1,Imports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3159109895,,,0
HS,2010,201008,August 2010,0,0,2,Exports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4197657772,,,0
HS,2010,201009,September 2010,0,0,1,Imports,12,Algeria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3517186254,,,0
