Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201501,January 2015,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2361030783,,,0
HS,2015,201501,January 2015,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2782580664,,,0
HS,2015,201502,February 2015,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2014395252,,,0
HS,2015,201502,February 2015,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2794977363,,,0
HS,2015,201503,March 2015,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2100439639,,,0
HS,2015,201503,March 2015,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2825668159,,,0
HS,2015,201504,April 2015,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1597298147,,,0
HS,2015,201504,April 2015,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3324359296,,,0
HS,2015,201505,May 2015,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1817603644,,,0
HS,2015,201505,May 2015,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3445268143,,,0
HS,2015,201506,June 2015,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1949030026,,,0
HS,2015,201506,June 2015,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3573730668,,,0
HS,2015,201507,July 2015,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1598774146,,,0
HS,2015,201507,July 2015,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3274756880,,,0
HS,2015,201508,August 2015,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1534304004,,,0
HS,2015,201508,August 2015,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2563873356,,,0
HS,2015,201509,September 2015,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1718230631,,,0
HS,2015,201509,September 2015,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2498968697,,,0
HS,2015,201510,October 2015,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1524388930,,,0
HS,2015,201510,October 2015,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2522302541,,,0
HS,2015,201511,November 2015,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1291234162,,,0
HS,2015,201511,November 2015,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2351701887,,,0
HS,2015,201512,December 2015,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1351824998,,,0
HS,2015,201512,December 2015,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1947160921,,,0
HS,2016,201601,January 2016,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1614852375,,,0
HS,2016,201601,January 2016,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1830603214,,,0
HS,2016,201602,February 2016,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1180400078,,,0
HS,2016,201602,February 2016,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1549743505,,,0
HS,2016,201603,March 2016,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1070813992,,,0
HS,2016,201603,March 2016,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2161340674,,,0
HS,2016,201603,March 2016,0,0,4,Re-imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9756211,,,0
HS,2016,201604,April 2016,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1128396802,,,0
HS,2016,201604,April 2016,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2241143393,,,0
HS,2016,201605,May 2016,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1080884172,,,0
HS,2016,201605,May 2016,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2559849857,,,0
HS,2016,201606,June 2016,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1023355248,,,0
HS,2016,201606,June 2016,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2618139994,,,0
HS,2016,201606,June 2016,0,0,4,Re-imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2778,,,0
HS,2016,201607,July 2016,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1108358797,,,0
HS,2016,201607,July 2016,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2439369663,,,0
HS,2016,201608,August 2016,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,941651878,,,0
HS,2016,201608,August 2016,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2650997416,,,0
HS,2016,201609,September 2016,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1209284854,,,0
HS,2016,201609,September 2016,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2324315186,,,0
HS,2016,201610,October 2016,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1304844856,,,0
HS,2016,201610,October 2016,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2519605168,,,0
HS,2016,201611,November 2016,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1282035763,,,0
HS,2016,201611,November 2016,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2348265728,,,0
HS,2016,201612,December 2016,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1402831682,,,0
HS,2016,201612,December 2016,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2814125724,,,0
HS,2017,201701,January 2017,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1201843821,,,0
HS,2017,201701,January 2017,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2764774201,,,0
HS,2017,201702,February 2017,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1057270308,,,0
HS,2017,201702,February 2017,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2790208032,,,0
HS,2017,201703,March 2017,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1126264726,,,0
HS,2017,201703,March 2017,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2678235701,,,0
HS,2017,201704,April 2017,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1285921836,,,0
HS,2017,201704,April 2017,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2754333885,,,0
HS,2017,201705,May 2017,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1138650835,,,0
HS,2017,201705,May 2017,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2661684876,,,0
HS,2017,201706,June 2017,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1344387674,,,0
HS,2017,201706,June 2017,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2534030341,,,0
HS,2017,201707,July 2017,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1367528896,,,0
HS,2017,201707,July 2017,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2540250612,,,0
HS,2017,201708,August 2017,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1308121151,,,0
HS,2017,201708,August 2017,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2816136237,,,0
HS,2017,201709,September 2017,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1146819805,,,0
HS,2017,201709,September 2017,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2980100545,,,0
HS,2017,201710,October 2017,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1201660911,,,0
HS,2017,201710,October 2017,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3441124818,,,0
HS,2017,201711,November 2017,0,0,1,Imports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1256708729,,,0
HS,2017,201711,November 2017,0,0,2,Exports,24,Angola,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3328030274,,,0
