Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,34392669,,,0
HS,2010,201001,January 2010,0,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1866149,,,0
HS,2010,201001,January 2010,0,0,3,Re-exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1624514,,,0
HS,2010,201002,February 2010,0,0,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,47678767,,,0
HS,2010,201002,February 2010,0,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2158767,,,0
HS,2010,201002,February 2010,0,0,3,Re-exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1945755,,,0
HS,2010,201003,March 2010,0,0,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33222053,,,0
HS,2010,201003,March 2010,0,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1528718,,,0
HS,2010,201003,March 2010,0,0,3,Re-exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1400878,,,0
HS,2010,201004,April 2010,0,0,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,50636885,,,0
HS,2010,201004,April 2010,0,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7068577,,,0
HS,2010,201004,April 2010,0,0,3,Re-exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6864686,,,0
HS,2010,201005,May 2010,0,0,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,38829605,,,0
HS,2010,201005,May 2010,0,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6775071,,,0
HS,2010,201005,May 2010,0,0,3,Re-exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6659483,,,0
HS,2010,201006,June 2010,0,0,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36318201,,,0
HS,2010,201006,June 2010,0,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1265096,,,0
HS,2010,201006,June 2010,0,0,3,Re-exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1005565,,,0
HS,2010,201007,July 2010,0,0,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,58524222,,,0
HS,2010,201007,July 2010,0,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,859620,,,0
HS,2010,201007,July 2010,0,0,3,Re-exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,573855,,,0
HS,2010,201008,August 2010,0,0,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,34605187,,,0
HS,2010,201008,August 2010,0,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4834108,,,0
HS,2010,201008,August 2010,0,0,3,Re-exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4668077,,,0
HS,2010,201009,September 2010,0,0,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36873897,,,0
HS,2010,201009,September 2010,0,0,2,Exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2281435,,,0
HS,2010,201009,September 2010,0,0,3,Re-exports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2089940,,,0
HS,2010,201010,October 2010,0,0,1,Imports,28,Antigua and Barbuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39688981,,,0
