Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201101,January 2011,0,0,1,Imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4889206851,,,0
HS,2011,201104,April 2011,0,0,1,Imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5532902201,,,0
HS,2011,201106,June 2011,0,0,1,Imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6704550251,,,0
HS,2011,201106,June 2011,0,0,2,Exports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7816976004,,,0
HS,2011,201106,June 2011,0,0,4,Re-imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2890061,,,0
HS,2011,201105,May 2011,0,0,1,Imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6489835200,,,0
HS,2011,201102,February 2011,0,0,1,Imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4764293086,,,0
HS,2011,201103,March 2011,0,0,1,Imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5641593167,,,0
HS,2011,201102,February 2011,0,0,2,Exports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5398023315,,,0
HS,2011,201103,March 2011,0,0,2,Exports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6098108154,,,0
HS,2011,201112,December 2011,0,0,1,Imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5987404476,,,0
HS,2011,201112,December 2011,0,0,2,Exports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6306262662,,,0
HS,2011,201107,July 2011,0,0,1,Imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6858535640,,,0
HS,2010,201012,December 2010,0,0,1,Imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5388755335,,,0
HS,2010,201012,December 2010,0,0,2,Exports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5484032465,,,0
HS,2010,201012,December 2010,0,0,4,Re-imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2228197,,,0
HS,2010,201008,August 2010,0,0,1,Imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5355477889,,,0
HS,2010,201004,April 2010,0,0,1,Imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4101004522,,,0
HS,2010,201008,August 2010,0,0,2,Exports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6382989202,,,0
HS,2010,201008,August 2010,0,0,4,Re-imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1086762,,,0
HS,2011,201109,September 2011,0,0,1,Imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6888513345,,,0
HS,2011,201111,November 2011,0,0,1,Imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6229747054,,,0
HS,2011,201108,August 2011,0,0,1,Imports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7671059189,,,0
HS,2011,201108,August 2011,0,0,2,Exports,32,Argentina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8328461020,,,0
