Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,80352423,,,0
HS,2010,201001,January 2010,0,0,2,Exports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8957953,,,0
HS,2010,201002,February 2010,0,0,1,Imports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,79289422,,,0
HS,2010,201002,February 2010,0,0,2,Exports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10713604,,,0
HS,2010,201003,March 2010,0,0,1,Imports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,85899249,,,0
HS,2010,201003,March 2010,0,0,2,Exports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8732745,,,0
HS,2010,201004,April 2010,0,0,1,Imports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,79366158,,,0
HS,2010,201004,April 2010,0,0,2,Exports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15097976,,,0
HS,2010,201005,May 2010,0,0,1,Imports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,78634141,,,0
HS,2010,201005,May 2010,0,0,2,Exports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7185045,,,0
HS,2010,201006,June 2010,0,0,1,Imports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,89860551,,,0
HS,2010,201006,June 2010,0,0,2,Exports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10093341,,,0
HS,2010,201007,July 2010,0,0,1,Imports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,82254869,,,0
HS,2010,201007,July 2010,0,0,2,Exports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10521125,,,0
HS,2010,201008,August 2010,0,0,1,Imports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,84463874,,,0
HS,2010,201008,August 2010,0,0,2,Exports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8652962,,,0
HS,2010,201009,September 2010,0,0,1,Imports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,83095996,,,0
HS,2010,201009,September 2010,0,0,2,Exports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9131395,,,0
HS,2010,201010,October 2010,0,0,1,Imports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,89231204,,,0
HS,2010,201010,October 2010,0,0,2,Exports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7160767,,,0
HS,2010,201011,November 2010,0,0,1,Imports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,117348951,,,0
HS,2010,201011,November 2010,0,0,2,Exports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12991678,,,0
HS,2010,201012,December 2010,0,0,1,Imports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,121236685,,,0
HS,2010,201012,December 2010,0,0,2,Exports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15284626,,,0
HS,2011,201101,January 2011,0,0,1,Imports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,75289248,,,0
HS,2011,201101,January 2011,0,0,2,Exports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7886394,,,0
HS,2011,201102,February 2011,0,0,1,Imports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,107573830,,,0
HS,2011,201102,February 2011,0,0,2,Exports,533,Aruba,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14614099,,,0
