Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201004,April 2010,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12482808349,,,0
HS,2011,201110,October 2011,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15138555013,,,0
HS,2010,201010,October 2010,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14350941947,,,0
HS,2010,201009,September 2010,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13571953004,,,0
HS,2010,201009,September 2010,0,0,1,Imports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14425359541,,,0
HS,2010,201010,October 2010,0,0,1,Imports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14967311253,,,0
HS,2011,201106,June 2011,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14884139044,,,0
HS,2011,201107,July 2011,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15240366335,,,0
HS,2011,201105,May 2011,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16070842385,,,0
HS,2010,201011,November 2010,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14912083388,,,0
HS,2010,201006,June 2010,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12543458718,,,0
HS,2010,201005,May 2010,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11740292329,,,0
HS,2010,201011,November 2010,0,0,1,Imports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14919857597,,,0
HS,2011,201104,April 2011,0,0,1,Imports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15525133088,,,0
HS,2011,201102,February 2011,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13765168823,,,0
HS,2010,201008,August 2010,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11345512098,,,0
HS,2010,201007,July 2010,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12962600224,,,0
HS,2011,201104,April 2011,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14844030677,,,0
HS,2011,201108,August 2011,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14113774290,,,0
HS,2011,201112,December 2011,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13093029416,,,0
HS,2011,201103,March 2011,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16315982259,,,0
HS,2011,201111,November 2011,0,0,1,Imports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16843960191,,,0
HS,2011,201101,January 2011,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12158014200,,,0
HS,2010,201012,December 2010,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12679289468,,,0
HS,2010,201002,February 2010,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11269916072,,,0
HS,2010,201001,January 2010,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10367714785,,,0
HS,2010,201003,March 2010,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13523373636,,,0
HS,2012,201203,March 2012,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15374552901,,,0
HS,2012,201203,March 2012,0,0,1,Imports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16287719746,,,0
HS,2012,201201,January 2012,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12605444778,,,0
HS,2012,201204,April 2012,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13768992007,,,0
HS,2012,201205,May 2012,0,0,2,Exports,40,Austria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14093684261,,,0
