Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2012,201201,January 2012,0,0,1,Imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,659778135,,,0
HS,2012,201201,January 2012,0,0,2,Exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,573032355,,,0
HS,2012,201201,January 2012,0,0,3,Re-exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,131385778,,,0
HS,2012,201201,January 2012,0,0,4,Re-imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,832292,,,0
HS,2012,201202,February 2012,0,0,1,Imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,640813548,,,0
HS,2012,201202,February 2012,0,0,2,Exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,554137325,,,0
HS,2012,201202,February 2012,0,0,3,Re-exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,76718917,,,0
HS,2012,201202,February 2012,0,0,4,Re-imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,463132,,,0
HS,2012,201203,March 2012,0,0,1,Imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,634275218,,,0
HS,2012,201203,March 2012,0,0,2,Exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,464857067,,,0
HS,2012,201203,March 2012,0,0,3,Re-exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,75010048,,,0
HS,2012,201203,March 2012,0,0,4,Re-imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,193397,,,0
HS,2012,201204,April 2012,0,0,1,Imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,694769906,,,0
HS,2012,201204,April 2012,0,0,2,Exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,579944777,,,0
HS,2012,201204,April 2012,0,0,3,Re-exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,76025838,,,0
HS,2012,201204,April 2012,0,0,4,Re-imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,146776,,,0
HS,2012,201205,May 2012,0,0,1,Imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,555139472,,,0
HS,2012,201205,May 2012,0,0,2,Exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,318167229,,,0
HS,2012,201205,May 2012,0,0,4,Re-imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16440,,,0
HS,2015,201501,January 2015,0,0,1,Imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1298308063,,,0
HS,2015,201501,January 2015,0,0,2,Exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1115423380,,,0
HS,2015,201501,January 2015,0,0,3,Re-exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,254916535,,,0
HS,2015,201501,January 2015,0,0,4,Re-imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,517461,,,0
HS,2015,201502,February 2015,0,0,1,Imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1304948322,,,0
HS,2015,201502,February 2015,0,0,2,Exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1272009571,,,0
HS,2015,201502,February 2015,0,0,3,Re-exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,316041923,,,0
HS,2015,201503,March 2015,0,0,1,Imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1503666400,,,0
HS,2015,201503,March 2015,0,0,2,Exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1270421807,,,0
HS,2015,201503,March 2015,0,0,3,Re-exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,324272544,,,0
HS,2015,201504,April 2015,0,0,1,Imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1383205815,,,0
HS,2015,201504,April 2015,0,0,2,Exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1245576055,,,0
HS,2015,201504,April 2015,0,0,3,Re-exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,306250027,,,0
HS,2015,201504,April 2015,0,0,4,Re-imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,0,,,0
HS,2015,201505,May 2015,0,0,1,Imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1390340948,,,0
HS,2015,201505,May 2015,0,0,2,Exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1239089201,,,0
HS,2015,201505,May 2015,0,0,3,Re-exports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,303142867,,,0
HS,2015,201505,May 2015,0,0,4,Re-imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,281025,,,0
HS,2015,201506,June 2015,0,0,1,Imports,48,Bahrain,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1387481375,,,0
