Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201108,August 2011,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3612242100,,,0
HS,2011,201108,August 2011,0,0,1,Imports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3750968600,,,0
HS,2011,201107,July 2011,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3725344200,,,0
HS,2011,201107,July 2011,0,0,1,Imports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3557844300,,,0
HS,2011,201106,June 2011,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3352047000,,,0
HS,2011,201106,June 2011,0,0,1,Imports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3959146400,,,0
HS,2011,201105,May 2011,0,0,1,Imports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3728196900,,,0
HS,2011,201109,September 2011,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3518538400,,,0
HS,2011,201104,April 2011,0,0,1,Imports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4193097900,,,0
HS,2011,201109,September 2011,0,0,1,Imports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3628350100,,,0
HS,2011,201104,April 2011,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3547191100,,,0
HS,2011,201105,May 2011,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3533715100,,,0
HS,2011,201102,February 2011,0,0,1,Imports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3819503300,,,0
HS,2011,201102,February 2011,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2686581400,,,0
HS,2011,201103,March 2011,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3317890000,,,0
HS,2011,201103,March 2011,0,0,1,Imports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4452890100,,,0
HS,2011,201101,January 2011,0,0,1,Imports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2522290900,,,0
HS,2011,201101,January 2011,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1771105700,,,0
HS,2011,201110,October 2011,0,0,1,Imports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3775047600,,,0
HS,2011,201110,October 2011,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3387370400,,,0
HS,2011,201111,November 2011,0,0,1,Imports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3907910400,,,0
HS,2011,201111,November 2011,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3581329000,,,0
HS,2011,201112,December 2011,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3773288700,,,0
HS,2011,201112,December 2011,0,0,1,Imports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4435027000,,,0
HS,2012,201205,May 2012,0,0,1,Imports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4258859000,,,0
HS,2012,201205,May 2012,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4540545200,,,0
HS,2012,201206,June 2012,0,0,1,Imports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3811772700,,,0
HS,2012,201206,June 2012,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4120787800,,,0
HS,2012,201201,January 2012,0,0,1,Imports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3253469400,,,0
HS,2012,201201,January 2012,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3527501600,,,0
HS,2012,201202,February 2012,0,0,1,Imports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3736975200,,,0
HS,2012,201202,February 2012,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4007211600,,,0
HS,2012,201204,April 2012,0,0,2,Exports,112,Belarus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4489435500,,,0
