Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2012,201201,January 2012,0,0,1,Imports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,67113840,,,0
HS,2012,201201,January 2012,0,0,2,Exports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,31896163,,,0
HS,2012,201201,January 2012,0,0,3,Re-exports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4926180,,,0
HS,2012,201202,February 2012,0,0,1,Imports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,66912958,,,0
HS,2012,201202,February 2012,0,0,2,Exports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,42733583,,,0
HS,2012,201202,February 2012,0,0,3,Re-exports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4537313,,,0
HS,2012,201203,March 2012,0,0,1,Imports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,67475206,,,0
HS,2012,201203,March 2012,0,0,2,Exports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,48650116,,,0
HS,2012,201203,March 2012,0,0,3,Re-exports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4140712,,,0
HS,2012,201204,April 2012,0,0,1,Imports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,69250574,,,0
HS,2012,201204,April 2012,0,0,2,Exports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,32587588,,,0
HS,2012,201204,April 2012,0,0,3,Re-exports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4874385,,,0
HS,2012,201205,May 2012,0,0,1,Imports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,85112605,,,0
HS,2012,201205,May 2012,0,0,2,Exports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,34758907,,,0
HS,2012,201205,May 2012,0,0,3,Re-exports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5365004,,,0
HS,2012,201206,June 2012,0,0,1,Imports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,66839980,,,0
HS,2012,201206,June 2012,0,0,2,Exports,84,Belize,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,42075353,,,0
