Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,132463999,,,0
HS,2010,201001,January 2010,0,0,2,Exports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,19760550,,,0
HS,2010,201002,February 2010,0,0,1,Imports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,147689902,,,0
HS,2010,201002,February 2010,0,0,2,Exports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,44006494,,,0
HS,2010,201003,March 2010,0,0,1,Imports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,155522265,,,0
HS,2010,201003,March 2010,0,0,2,Exports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,77686849,,,0
HS,2010,201004,April 2010,0,0,1,Imports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,175138308,,,0
HS,2010,201004,April 2010,0,0,2,Exports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,65396943,,,0
HS,2010,201005,May 2010,0,0,1,Imports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,141294417,,,0
HS,2010,201005,May 2010,0,0,2,Exports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,55226308,,,0
HS,2010,201006,June 2010,0,0,1,Imports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,199338616,,,0
HS,2010,201006,June 2010,0,0,2,Exports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,49040865,,,0
HS,2010,201007,July 2010,0,0,1,Imports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,192585389,,,0
HS,2010,201007,July 2010,0,0,2,Exports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,43362929,,,0
HS,2010,201008,August 2010,0,0,1,Imports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,198127546,,,0
HS,2010,201008,August 2010,0,0,2,Exports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,31205652,,,0
HS,2010,201009,September 2010,0,0,1,Imports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,177543902,,,0
HS,2010,201009,September 2010,0,0,2,Exports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,32064828,,,0
HS,2010,201010,October 2010,0,0,1,Imports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,190395415,,,0
HS,2010,201010,October 2010,0,0,2,Exports,204,Benin,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,57453659,,,0
