Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201401,January 2014,0,0,1,Imports,60,Bermuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,52809164,,,0
HS,2014,201401,January 2014,0,0,2,Exports,60,Bermuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,646977,,,0
HS,2014,201402,February 2014,0,0,1,Imports,60,Bermuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,60530124,,,0
HS,2014,201402,February 2014,0,0,2,Exports,60,Bermuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,861415,,,0
HS,2014,201403,March 2014,0,0,1,Imports,60,Bermuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,104622572,,,0
HS,2014,201403,March 2014,0,0,2,Exports,60,Bermuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,291291,,,0
HS,2014,201404,April 2014,0,0,1,Imports,60,Bermuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,74167353,,,0
HS,2014,201404,April 2014,0,0,2,Exports,60,Bermuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,797347,,,0
HS,2014,201405,May 2014,0,0,1,Imports,60,Bermuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,95165563,,,0
HS,2014,201405,May 2014,0,0,2,Exports,60,Bermuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,760746,,,0
HS,2014,201406,June 2014,0,0,1,Imports,60,Bermuda,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,87736726,,,0
