Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,401574686,,,0
HS,2010,201001,January 2010,0,0,2,Exports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,491962262,,,0
HS,2010,201001,January 2010,0,0,3,Re-exports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7177126,,,0
HS,2010,201002,February 2010,0,0,1,Imports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,339504138,,,0
HS,2010,201002,February 2010,0,0,2,Exports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,449549117,,,0
HS,2010,201002,February 2010,0,0,3,Re-exports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,8519032,,,0
HS,2010,201003,March 2010,0,0,1,Imports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,461587107,,,0
HS,2010,201003,March 2010,0,0,2,Exports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,553987548,,,0
HS,2010,201003,March 2010,0,0,3,Re-exports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3607685,,,0
HS,2010,201004,April 2010,0,0,1,Imports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,434714089,,,0
HS,2010,201004,April 2010,0,0,2,Exports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,489622412,,,0
HS,2010,201004,April 2010,0,0,3,Re-exports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12128581,,,0
HS,2010,201005,May 2010,0,0,1,Imports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,475310029,,,0
HS,2010,201005,May 2010,0,0,2,Exports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,629732282,,,0
HS,2010,201005,May 2010,0,0,3,Re-exports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6245277,,,0
HS,2010,201006,June 2010,0,0,1,Imports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,435705402,,,0
HS,2010,201006,June 2010,0,0,2,Exports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,620869991,,,0
HS,2010,201006,June 2010,0,0,3,Re-exports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4564587,,,0
HS,2010,201007,July 2010,0,0,1,Imports,68,Bolivia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,467463503,,,0
