Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201003,March 2010,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,419784767,,,0
HS,2011,201101,January 2011,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,653377750,,,0
HS,2010,201002,February 2010,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,661045053,,,0
HS,2011,201111,November 2011,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,899638412,,,0
HS,2011,201111,November 2011,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,488443831,,,0
HS,2010,201001,January 2010,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,524809885,,,0
HS,2010,201001,January 2010,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,305965410,,,0
HS,2010,201003,March 2010,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,754994630,,,0
HS,2011,201108,August 2011,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,491252526,,,0
HS,2011,201108,August 2011,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,951840597,,,0
HS,2011,201105,May 2011,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,507244010,,,0
HS,2011,201109,September 2011,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1002233918,,,0
HS,2011,201109,September 2011,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,517045832,,,0
HS,2011,201105,May 2011,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,941920795,,,0
HS,2010,201002,February 2010,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,360715935,,,0
HS,2011,201107,July 2011,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,978509808,,,0
HS,2011,201106,June 2011,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1041233043,,,0
HS,2011,201112,December 2011,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,944703407,,,0
HS,2011,201112,December 2011,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,439958634,,,0
HS,2010,201008,August 2010,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,769974914,,,0
HS,2010,201008,August 2010,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,384090536,,,0
HS,2011,201106,June 2011,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,519181774,,,0
HS,2010,201012,December 2010,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,411052023,,,0
HS,2011,201101,January 2011,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,422870685,,,0
HS,2010,201012,December 2010,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,865799021,,,0
HS,2010,201007,July 2010,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,808182000,,,0
HS,2010,201007,July 2010,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,416743893,,,0
HS,2010,201009,September 2010,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,908417095,,,0
HS,2010,201009,September 2010,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,446388575,,,0
HS,2010,201010,October 2010,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,421873314,,,0
HS,2010,201010,October 2010,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,861558610,,,0
HS,2011,201104,April 2011,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,520366694,,,0
HS,2011,201104,April 2011,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,947581397,,,0
HS,2010,201011,November 2010,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,838381899,,,0
HS,2010,201011,November 2010,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,463172734,,,0
HS,2011,201110,October 2011,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,972248186,,,0
HS,2011,201110,October 2011,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,486647576,,,0
HS,2011,201102,February 2011,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,778294734,,,0
HS,2011,201102,February 2011,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,451854653,,,0
HS,2011,201103,March 2011,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,949398778,,,0
HS,2011,201103,March 2011,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,504799327,,,0
HS,2010,201004,April 2010,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,406879642,,,0
HS,2010,201004,April 2010,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,773910234,,,0
HS,2010,201005,May 2010,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,754747932,,,0
HS,2010,201006,June 2010,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,400985644,,,0
HS,2010,201006,June 2010,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,732338187,,,0
HS,2010,201005,May 2010,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,388114660,,,0
HS,2011,201107,July 2011,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,506687046,,,0
HS,2012,201206,June 2012,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,487217222,,,0
HS,2012,201202,February 2012,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,343470767,,,0
HS,2012,201201,January 2012,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,367753937,,,0
HS,2012,201201,January 2012,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,655508927,,,0
HS,2012,201202,February 2012,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,618147553,,,0
HS,2012,201203,March 2012,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,447314285,,,0
HS,2012,201203,March 2012,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,965596354,,,0
HS,2012,201204,April 2012,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,863751313,,,0
HS,2012,201204,April 2012,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,430942421,,,0
HS,2012,201208,August 2012,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,887902809,,,0
HS,2012,201205,May 2012,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,864149772,,,0
HS,2012,201205,May 2012,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,463881401,,,0
HS,2012,201206,June 2012,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,849751740,,,0
HS,2012,201207,July 2012,0,0,1,Imports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,896673219,,,0
HS,2012,201208,August 2012,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,415894992,,,0
HS,2012,201209,September 2012,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,450233154,,,0
HS,2012,201207,July 2012,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,457387865,,,0
HS,2017,201703,March 2017,0,0,2,Exports,70,Bosnia Herzegovina,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,544700098,,,0
