Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,362247808,,,0
HS,2010,201001,January 2010,0,0,2,Exports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,334544099,,,0
HS,2010,201001,January 2010,0,0,3,Re-exports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1506159,,,0
HS,2010,201002,February 2010,0,0,1,Imports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,397282528,,,0
HS,2010,201002,February 2010,0,0,2,Exports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,394334042,,,0
HS,2010,201002,February 2010,0,0,3,Re-exports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5522556,,,0
HS,2010,201003,March 2010,0,0,1,Imports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,464998087,,,0
HS,2010,201003,March 2010,0,0,2,Exports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,416032031,,,0
HS,2010,201003,March 2010,0,0,3,Re-exports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7075271,,,0
HS,2010,201004,April 2010,0,0,1,Imports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,368236468,,,0
HS,2010,201004,April 2010,0,0,2,Exports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,202802973,,,0
HS,2010,201004,April 2010,0,0,3,Re-exports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9980908,,,0
HS,2010,201005,May 2010,0,0,1,Imports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,346703250,,,0
HS,2010,201005,May 2010,0,0,2,Exports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,343353411,,,0
HS,2010,201005,May 2010,0,0,3,Re-exports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,8329220,,,0
HS,2010,201006,June 2010,0,0,1,Imports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,535415061,,,0
HS,2010,201006,June 2010,0,0,2,Exports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,502269494,,,0
HS,2010,201006,June 2010,0,0,3,Re-exports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7296439,,,0
HS,2010,201007,July 2010,0,0,1,Imports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,436083338,,,0
HS,2010,201007,July 2010,0,0,2,Exports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,474684644,,,0
HS,2010,201007,July 2010,0,0,3,Re-exports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7021326,,,0
HS,2010,201008,August 2010,0,0,1,Imports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,373672993,,,0
HS,2010,201008,August 2010,0,0,2,Exports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,325957949,,,0
HS,2010,201008,August 2010,0,0,3,Re-exports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7870400,,,0
HS,2010,201009,September 2010,0,0,1,Imports,72,Botswana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,436344106,,,0
