Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201110,October 2011,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,22055372077,,,0
HS,2011,201110,October 2011,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,20803927023,,,0
HS,2011,201102,February 2011,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16621034760,,,0
HS,2011,201106,June 2011,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,22518366011,,,0
HS,2011,201102,February 2011,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16484201855,,,0
HS,2011,201106,June 2011,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,20287034309,,,0
HS,2011,201107,July 2011,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,22193042186,,,0
HS,2011,201107,July 2011,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,20147745860,,,0
HS,2011,201101,January 2011,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15031610457,,,0
HS,2011,201101,January 2011,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15759194897,,,0
HS,2011,201105,May 2011,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,23057404066,,,0
HS,2010,201011,November 2010,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18475094069,,,0
HS,2010,201011,November 2010,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17558595004,,,0
HS,2011,201109,September 2011,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,23191369874,,,0
HS,2011,201109,September 2011,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21297579028,,,0
HS,2011,201104,April 2011,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,20083002562,,,0
HS,2011,201104,April 2011,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19312283691,,,0
HS,2011,201108,August 2011,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,26076702827,,,0
HS,2011,201108,August 2011,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23422520878,,,0
HS,2010,201009,September 2010,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18726305741,,,0
HS,2010,201009,September 2010,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18849089669,,,0
HS,2011,201111,November 2011,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21666081911,,,0
HS,2011,201111,November 2011,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,22335598673,,,0
HS,2011,201103,March 2011,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,19172557483,,,0
HS,2011,201103,March 2011,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18735892249,,,0
HS,2011,201112,December 2011,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19357299172,,,0
HS,2011,201112,December 2011,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21998892581,,,0
HS,2010,201007,July 2010,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17555470535,,,0
HS,2010,201007,July 2010,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17364862976,,,0
HS,2010,201012,December 2010,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,20795902805,,,0
HS,2010,201012,December 2010,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16573666011,,,0
HS,2010,201002,February 2010,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12066643269,,,0
HS,2010,201002,February 2010,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12559905567,,,0
HS,2011,201105,May 2011,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,20762854740,,,0
HS,2010,201008,August 2010,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,19084996312,,,0
HS,2010,201008,August 2010,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17892943617,,,0
HS,2010,201004,April 2010,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15074159639,,,0
HS,2010,201004,April 2010,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14751982067,,,0
HS,2010,201005,May 2010,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17632087239,,,0
HS,2010,201005,May 2010,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15166176653,,,0
HS,2010,201006,June 2010,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17012328835,,,0
HS,2010,201006,June 2010,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15768688462,,,0
HS,2010,201010,October 2010,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17594929996,,,0
HS,2010,201010,October 2010,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,18136570769,,,0
HS,2010,201003,March 2010,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15637886925,,,0
HS,2010,201003,March 2010,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15958245695,,,0
HS,2010,201001,January 2010,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12228677154,,,0
HS,2010,201001,January 2010,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11153005703,,,0
HS,2008,200806,June 2008,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,18572704209,,,0
HS,2008,200806,June 2008,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16812271240,,,0
HS,2008,200804,April 2008,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14038688872,,,0
HS,2008,200804,April 2008,0,0,1,Imports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13106096254,,,0
HS,2008,200802,February 2008,0,0,2,Exports,76,Brazil,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12763889431,,,0
