Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,96,Brunei Darussalam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,209911736,,,0
HS,2010,201001,January 2010,0,0,2,Exports,96,Brunei Darussalam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,759978703,,,0
HS,2010,201002,February 2010,0,0,1,Imports,96,Brunei Darussalam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,151433718,,,0
HS,2010,201002,February 2010,0,0,2,Exports,96,Brunei Darussalam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,631457215,,,0
HS,2010,201003,March 2010,0,0,1,Imports,96,Brunei Darussalam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,207625634,,,0
HS,2010,201003,March 2010,0,0,2,Exports,96,Brunei Darussalam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,747139796,,,0
HS,2010,201004,April 2010,0,0,1,Imports,96,Brunei Darussalam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,188544480,,,0
HS,2010,201004,April 2010,0,0,2,Exports,96,Brunei Darussalam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,606495201,,,0
HS,2010,201005,May 2010,0,0,1,Imports,96,Brunei Darussalam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,211114736,,,0
HS,2010,201005,May 2010,0,0,2,Exports,96,Brunei Darussalam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,739534937,,,0
HS,2010,201006,June 2010,0,0,1,Imports,96,Brunei Darussalam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,257031474,,,0
HS,2010,201006,June 2010,0,0,2,Exports,96,Brunei Darussalam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,631735589,,,0
HS,2010,201007,July 2010,0,0,1,Imports,96,Brunei Darussalam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,214272237,,,0
HS,2010,201007,July 2010,0,0,2,Exports,96,Brunei Darussalam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,724181157,,,0
HS,2010,201008,August 2010,0,0,1,Imports,96,Brunei Darussalam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,239343053,,,0
HS,2010,201008,August 2010,0,0,2,Exports,96,Brunei Darussalam,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,715686325,,,0
