Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201110,October 2011,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2475025779,,,0
HS,2011,201110,October 2011,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3000017429,,,0
HS,2011,201102,February 2011,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2009270614,,,0
HS,2011,201102,February 2011,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2181174678,,,0
HS,2010,201010,October 2010,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2433827623,,,0
HS,2010,201009,September 2010,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1848059090,,,0
HS,2010,201009,September 2010,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2085580022,,,0
HS,2010,201010,October 2010,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2017515222,,,0
HS,2011,201106,June 2011,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2729955236,,,0
HS,2011,201106,June 2011,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2296371288,,,0
HS,2011,201107,July 2011,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2695021018,,,0
HS,2011,201107,July 2011,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2626608606,,,0
HS,2011,201101,January 2011,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2123338748,,,0
HS,2010,201008,August 2010,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1968513188,,,0
HS,2011,201101,January 2011,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2126094315,,,0
HS,2010,201008,August 2010,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1873168342,,,0
HS,2010,201007,July 2010,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1934643925,,,0
HS,2010,201007,July 2010,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2130050625,,,0
HS,2010,201005,May 2010,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2070837863,,,0
HS,2010,201006,June 2010,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1724994591,,,0
HS,2011,201105,May 2011,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2825898041,,,0
HS,2010,201006,June 2010,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2038460052,,,0
HS,2010,201005,May 2010,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1522064042,,,0
HS,2011,201105,May 2011,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2377259078,,,0
HS,2010,201011,November 2010,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2719517795,,,0
HS,2010,201011,November 2010,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1987303217,,,0
HS,2011,201109,September 2011,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2749985632,,,0
HS,2011,201104,April 2011,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2317294778,,,0
HS,2011,201109,September 2011,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2358036834,,,0
HS,2011,201108,August 2011,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2399257855,,,0
HS,2011,201104,April 2011,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2747714196,,,0
HS,2011,201108,August 2011,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2511543565,,,0
HS,2011,201103,March 2011,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2557835628,,,0
HS,2011,201103,March 2011,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2375201679,,,0
HS,2010,201002,February 2010,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1374349007,,,0
HS,2011,201111,November 2011,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2377739304,,,0
HS,2011,201111,November 2011,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3025862780,,,0
HS,2010,201003,March 2010,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1538526331,,,0
HS,2010,201003,March 2010,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2062934779,,,0
HS,2011,201112,December 2011,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2643164860,,,0
HS,2011,201112,December 2011,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2089106930,,,0
HS,2010,201004,April 2010,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1585841143,,,0
HS,2010,201001,January 2010,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1314739661,,,0
HS,2010,201004,April 2010,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2103962644,,,0
HS,2010,201001,January 2010,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1654287583,,,0
HS,2010,201012,December 2010,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2436591062,,,0
HS,2010,201012,December 2010,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1849380785,,,0
HS,2010,201002,February 2010,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1610585074,,,0
HS,2012,201201,January 2012,0,0,4,Re-imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3607131,,,0
HS,2012,201201,January 2012,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2307878246,,,0
HS,2012,201201,January 2012,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1853613818,,,0
HS,2012,201202,February 2012,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1934914942,,,0
HS,2012,201202,February 2012,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2436893523,,,0
HS,2012,201202,February 2012,0,0,4,Re-imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1549988,,,0
HS,2012,201203,March 2012,0,0,4,Re-imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3752754,,,0
HS,2012,201203,March 2012,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2270170799,,,0
HS,2012,201203,March 2012,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2861870908,,,0
HS,2012,201204,April 2012,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2132074692,,,0
HS,2012,201204,April 2012,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2885213067,,,0
HS,2012,201204,April 2012,0,0,4,Re-imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4184058,,,0
HS,2012,201206,June 2012,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2217852766,,,0
HS,2012,201206,June 2012,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2801200190,,,0
HS,2012,201206,June 2012,0,0,4,Re-imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4001209,,,0
HS,2012,201205,May 2012,0,0,2,Exports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2388329804,,,0
HS,2012,201205,May 2012,0,0,1,Imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3067307353,,,0
HS,2012,201205,May 2012,0,0,4,Re-imports,100,Bulgaria,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6429724,,,0
