Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,854,Burkina Faso,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,137374353,,,0
HS,2010,201001,January 2010,0,0,2,Exports,854,Burkina Faso,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,84932631,,,0
HS,2010,201002,February 2010,0,0,1,Imports,854,Burkina Faso,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,137039172,,,0
HS,2010,201002,February 2010,0,0,2,Exports,854,Burkina Faso,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,106590471,,,0
HS,2010,201003,March 2010,0,0,1,Imports,854,Burkina Faso,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,177376754,,,0
HS,2010,201003,March 2010,0,0,2,Exports,854,Burkina Faso,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,124418670,,,0
HS,2010,201004,April 2010,0,0,1,Imports,854,Burkina Faso,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,164636441,,,0
HS,2010,201004,April 2010,0,0,2,Exports,854,Burkina Faso,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,78640412,,,0
HS,2010,201005,May 2010,0,0,1,Imports,854,Burkina Faso,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,146128490,,,0
HS,2010,201005,May 2010,0,0,2,Exports,854,Burkina Faso,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,120529854,,,0
