Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3794506653,,,0
HS,2010,201001,January 2010,0,0,2,Exports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,414984447,,,0
HS,2010,201001,January 2010,0,0,3,Re-exports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,81932061,,,0
HS,2010,201002,February 2010,0,0,1,Imports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3431630623,,,0
HS,2010,201002,February 2010,0,0,2,Exports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,374775636,,,0
HS,2010,201002,February 2010,0,0,3,Re-exports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,48912912,,,0
HS,2010,201003,March 2010,0,0,1,Imports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4504780321,,,0
HS,2010,201003,March 2010,0,0,2,Exports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,543785647,,,0
HS,2010,201003,March 2010,0,0,3,Re-exports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,85553109,,,0
HS,2010,201004,April 2010,0,0,1,Imports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3556367364,,,0
HS,2010,201004,April 2010,0,0,2,Exports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,463327899,,,0
HS,2010,201004,April 2010,0,0,3,Re-exports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,86052041,,,0
HS,2010,201005,May 2010,0,0,1,Imports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3334490615,,,0
HS,2010,201005,May 2010,0,0,2,Exports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,351271004,,,0
HS,2010,201005,May 2010,0,0,3,Re-exports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,56899492,,,0
HS,2010,201006,June 2010,0,0,1,Imports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3416657731,,,0
HS,2010,201006,June 2010,0,0,2,Exports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,352447061,,,0
HS,2010,201006,June 2010,0,0,3,Re-exports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,87470999,,,0
HS,2010,201007,July 2010,0,0,1,Imports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4016685907,,,0
HS,2010,201007,July 2010,0,0,2,Exports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,871078581,,,0
HS,2010,201007,July 2010,0,0,3,Re-exports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,52943290,,,0
HS,2010,201008,August 2010,0,0,1,Imports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4830375814,,,0
HS,2010,201008,August 2010,0,0,2,Exports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1537785393,,,0
HS,2010,201008,August 2010,0,0,3,Re-exports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,133499958,,,0
HS,2010,201009,September 2010,0,0,1,Imports,108,Burundi,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5164095966,,,0
