Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,47750974,,,0
HS,2010,201001,January 2010,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2428617,,,0
HS,2010,201002,February 2010,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45270297,,,0
HS,2010,201002,February 2010,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3637227,,,0
HS,2010,201003,March 2010,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,73236811,,,0
HS,2010,201003,March 2010,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4998624,,,0
HS,2010,201004,April 2010,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,60894453,,,0
HS,2010,201004,April 2010,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5457084,,,0
HS,2010,201005,May 2010,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,72120328,,,0
HS,2010,201005,May 2010,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3440998,,,0
HS,2010,201006,June 2010,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,50899849,,,0
HS,2010,201006,June 2010,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4614224,,,0
HS,2010,201007,July 2010,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,60173572,,,0
HS,2010,201007,July 2010,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1734348,,,0
HS,2010,201008,August 2010,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,59532946,,,0
HS,2010,201008,August 2010,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3331256,,,0
HS,2010,201009,September 2010,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,68889872,,,0
HS,2010,201009,September 2010,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2211014,,,0
HS,2010,201010,October 2010,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,67762867,,,0
HS,2010,201010,October 2010,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5761406,,,0
HS,2010,201011,November 2010,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,63803489,,,0
HS,2010,201011,November 2010,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4962600,,,0
HS,2010,201012,December 2010,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,71622873,,,0
HS,2010,201012,December 2010,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4631830,,,0
HS,2011,201101,January 2011,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,52930952,,,0
HS,2011,201101,January 2011,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3702879,,,0
HS,2011,201102,February 2011,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,68021377,,,0
HS,2011,201102,February 2011,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4342767,,,0
HS,2011,201103,March 2011,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,78721871,,,0
HS,2011,201103,March 2011,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5906450,,,0
HS,2011,201104,April 2011,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,79856523,,,0
HS,2011,201104,April 2011,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6405086,,,0
HS,2011,201105,May 2011,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,85374556,,,0
HS,2011,201105,May 2011,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7680633,,,0
HS,2011,201106,June 2011,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,79984668,,,0
HS,2011,201106,June 2011,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5926449,,,0
HS,2011,201107,July 2011,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,82700270,,,0
HS,2011,201107,July 2011,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5835258,,,0
HS,2011,201108,August 2011,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,85044798,,,0
HS,2011,201108,August 2011,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6202739,,,0
HS,2011,201109,September 2011,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,71279856,,,0
HS,2011,201109,September 2011,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3728991,,,0
HS,2011,201110,October 2011,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,71249843,,,0
HS,2011,201110,October 2011,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5421220,,,0
HS,2011,201111,November 2011,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,83044897,,,0
HS,2011,201111,November 2011,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7626512,,,0
HS,2011,201112,December 2011,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,110086552,,,0
HS,2011,201112,December 2011,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5480263,,,0
HS,2012,201201,January 2012,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,50959517,,,0
HS,2012,201201,January 2012,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4209536,,,0
HS,2012,201202,February 2012,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,59125752,,,0
HS,2012,201202,February 2012,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2982555,,,0
HS,2012,201203,March 2012,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,63930348,,,0
HS,2012,201203,March 2012,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4657013,,,0
HS,2012,201204,April 2012,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,57674394,,,0
HS,2012,201204,April 2012,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3490878,,,0
HS,2012,201205,May 2012,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,70471170,,,0
HS,2012,201205,May 2012,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4859581,,,0
HS,2012,201206,June 2012,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,51410980,,,0
HS,2012,201206,June 2012,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7922698,,,0
HS,2012,201207,July 2012,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,82063087,,,0
HS,2012,201207,July 2012,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5159929,,,0
HS,2012,201208,August 2012,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,60207894,,,0
HS,2012,201208,August 2012,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5425845,,,0
HS,2012,201209,September 2012,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,54869306,,,0
HS,2012,201209,September 2012,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3964657,,,0
HS,2012,201210,October 2012,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,91291990,,,0
HS,2012,201210,October 2012,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3459664,,,0
HS,2012,201211,November 2012,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,56023716,,,0
HS,2012,201211,November 2012,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3648031,,,0
HS,2012,201212,December 2012,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,64902434,,,0
HS,2012,201212,December 2012,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6263420,,,0
HS,2013,201301,January 2013,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,49714055,,,0
HS,2013,201301,January 2013,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3782010,,,0
HS,2013,201302,February 2013,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,56739901,,,0
HS,2013,201302,February 2013,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3912371,,,0
HS,2013,201303,March 2013,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,46727122,,,0
HS,2013,201303,March 2013,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3395880,,,0
HS,2013,201304,April 2013,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,58517702,,,0
HS,2013,201304,April 2013,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5933762,,,0
HS,2013,201305,May 2013,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,58438135,,,0
HS,2013,201305,May 2013,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2768848,,,0
HS,2013,201306,June 2013,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,66087418,,,0
HS,2013,201306,June 2013,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9361479,,,0
HS,2013,201307,July 2013,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,71338355,,,0
HS,2013,201307,July 2013,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4913034,,,0
HS,2013,201308,August 2013,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,58067656,,,0
HS,2013,201308,August 2013,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7093451,,,0
HS,2013,201309,September 2013,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,57076031,,,0
HS,2013,201309,September 2013,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8193537,,,0
HS,2013,201310,October 2013,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,83057114,,,0
HS,2013,201310,October 2013,0,0,2,Exports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7349199,,,0
HS,2013,201311,November 2013,0,0,1,Imports,132,Cabo Verde,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,61062488,,,0
