Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201101,January 2011,0,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,418834847,,,0
HS,2011,201101,January 2011,0,0,2,Exports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,179041701,,,0
HS,2011,201102,February 2011,0,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,361856300,,,0
HS,2011,201102,February 2011,0,0,2,Exports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,162864831,,,0
HS,2011,201103,March 2011,0,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,405044499,,,0
HS,2011,201103,March 2011,0,0,2,Exports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,160347007,,,0
HS,2011,201104,April 2011,0,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,335873637,,,0
HS,2011,201104,April 2011,0,0,2,Exports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,160082806,,,0
HS,2011,201105,May 2011,0,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,404558737,,,0
HS,2011,201105,May 2011,0,0,2,Exports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,146042167,,,0
HS,2011,201106,June 2011,0,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,450035396,,,0
HS,2011,201106,June 2011,0,0,2,Exports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,158012704,,,0
HS,2011,201107,July 2011,0,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,409988503,,,0
HS,2011,201107,July 2011,0,0,2,Exports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,169275326,,,0
HS,2011,201108,August 2011,0,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,470577661,,,0
HS,2011,201108,August 2011,0,0,2,Exports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,241459780,,,0
HS,2011,201108,August 2011,0,0,4,Re-imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1154013,,,0
HS,2011,201109,September 2011,0,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,448858747,,,0
HS,2011,201109,September 2011,0,0,2,Exports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,193798425,,,0
HS,2011,201110,October 2011,0,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,411763069,,,0
HS,2011,201110,October 2011,0,0,2,Exports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,181507265,,,0
HS,2011,201111,November 2011,0,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,449405423,,,0
HS,2011,201111,November 2011,0,0,2,Exports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,193304926,,,0
HS,2011,201111,November 2011,0,0,4,Re-imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,253938,,,0
HS,2011,201112,December 2011,0,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,499665195,,,0
HS,2011,201112,December 2011,0,0,2,Exports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,197981370,,,0
HS,2012,201201,January 2012,0,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,417439834,,,0
HS,2012,201201,January 2012,0,0,2,Exports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,295486369,,,0
HS,2012,201202,February 2012,0,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,559404624,,,0
HS,2012,201202,February 2012,0,0,2,Exports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,265890859,,,0
HS,2012,201203,March 2012,0,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,513014000,,,0
HS,2012,201203,March 2012,0,0,2,Exports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,274588767,,,0
HS,2012,201204,April 2012,0,0,1,Imports,120,Cameroon,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,503636474,,,0
