Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201007,July 2010,0,0,4,Re-imports,124,Canada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,290321026,,,0
HS,2010,201007,July 2010,0,0,1,Imports,124,Canada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,31824841557,,,0
HS,2010,201007,July 2010,0,0,2,Exports,124,Canada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29304905886,,,0
HS,2011,201109,September 2011,0,0,1,Imports,124,Canada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,38231808139,,,0
HS,2011,201109,September 2011,0,0,2,Exports,124,Canada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39314293333,,,0
HS,2011,201109,September 2011,0,0,4,Re-imports,124,Canada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,452174367,,,0
HS,2011,201108,August 2011,0,0,4,Re-imports,124,Canada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,435474233,,,0
HS,2011,201108,August 2011,0,0,2,Exports,124,Canada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39015734040,,,0
HS,2011,201108,August 2011,0,0,1,Imports,124,Canada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39981608847,,,0
HS,2011,201104,April 2011,0,0,1,Imports,124,Canada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,37338978661,,,0
HS,2011,201104,April 2011,0,0,2,Exports,124,Canada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36180920854,,,0
HS,2011,201104,April 2011,0,0,4,Re-imports,124,Canada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,392954418,,,0
HS,2010,201008,August 2010,0,0,1,Imports,124,Canada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33455162537,,,0
HS,2010,201008,August 2010,0,0,4,Re-imports,124,Canada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,287321536,,,0
