Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,140,Central African Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12125328,,,0
HS,2010,201001,January 2010,0,0,2,Exports,140,Central African Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6419718,,,0
HS,2010,201002,February 2010,0,0,1,Imports,140,Central African Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15323034,,,0
HS,2010,201002,February 2010,0,0,2,Exports,140,Central African Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7251650,,,0
HS,2010,201003,March 2010,0,0,1,Imports,140,Central African Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15576193,,,0
HS,2010,201003,March 2010,0,0,2,Exports,140,Central African Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8813377,,,0
HS,2010,201005,May 2010,0,0,1,Imports,140,Central African Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15536986,,,0
HS,2010,201005,May 2010,0,0,2,Exports,140,Central African Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9314972,,,0
HS,2010,201006,June 2010,0,0,1,Imports,140,Central African Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13204667,,,0
HS,2010,201006,June 2010,0,0,2,Exports,140,Central African Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4799976,,,0
HS,2010,201004,April 2010,0,0,1,Imports,140,Central African Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19910190,,,0
HS,2010,201004,April 2010,0,0,2,Exports,140,Central African Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7588590,,,0
