Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201103,March 2011,0,0,2,Exports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7715285434,,,0
HS,2010,201011,November 2010,0,0,2,Exports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6471414065,,,0
HS,2010,201011,November 2010,0,0,1,Imports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5480609587,,,0
HS,2010,201011,November 2010,0,0,4,Re-imports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,771308,,,0
HS,2010,201002,February 2010,0,0,4,Re-imports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,532124,,,0
HS,2010,201002,February 2010,0,0,2,Exports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5002470095,,,0
HS,2010,201004,April 2010,0,0,2,Exports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5355736570,,,0
HS,2010,201002,February 2010,0,0,1,Imports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3883699914,,,0
HS,2010,201001,January 2010,0,0,2,Exports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5064668748,,,0
HS,2010,201003,March 2010,0,0,4,Re-imports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,518380,,,0
HS,2011,201103,March 2011,0,0,1,Imports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6556717686,,,0
HS,2011,201103,March 2011,0,0,4,Re-imports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,930656,,,0
HS,2011,201112,December 2011,0,0,1,Imports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6412700137,,,0
HS,2010,201001,January 2010,0,0,1,Imports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4129460844,,,0
HS,2010,201001,January 2010,0,0,4,Re-imports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,620683,,,0
HS,2011,201101,January 2011,0,0,2,Exports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6505072438,,,0
HS,2011,201101,January 2011,0,0,4,Re-imports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,521027,,,0
HS,2011,201101,January 2011,0,0,1,Imports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5147124551,,,0
HS,2010,201003,March 2010,0,0,1,Imports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4488677571,,,0
HS,2010,201003,March 2010,0,0,2,Exports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5542591189,,,0
HS,2011,201108,August 2011,0,0,2,Exports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6339314510,,,0
HS,2011,201108,August 2011,0,0,4,Re-imports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1431196,,,0
HS,2011,201108,August 2011,0,0,1,Imports,152,Chile,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6862111281,,,0
