Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201112,December 2011,0,0,3,Re-exports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36254572653,,,0
HS,2011,201112,December 2011,0,0,2,Exports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,37420009041,,,0
HS,2011,201112,December 2011,0,0,1,Imports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,44001270150,,,0
HS,2010,201004,April 2010,0,0,1,Imports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36760988821,,,0
HS,2010,201010,October 2010,0,0,1,Imports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,38521126323,,,0
HS,2010,201010,October 2010,0,0,3,Re-exports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,34620627532,,,0
HS,2010,201009,September 2010,0,0,1,Imports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39782007230,,,0
HS,2010,201003,March 2010,0,0,3,Re-exports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29706832006,,,0
HS,2011,201105,May 2011,0,0,1,Imports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41389348365,,,0
HS,2011,201108,August 2011,0,0,3,Re-exports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40440485735,,,0
HS,2011,201102,February 2011,0,0,3,Re-exports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,28726174045,,,0
HS,2011,201105,May 2011,0,0,2,Exports,344,"China, Hong Kong SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36729801272,,,0
