Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201410,October 2014,0,0,4,Re-imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,8411978,,,0
HS,2014,201411,November 2014,0,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1252073542,,,0
HS,2015,201504,April 2015,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,187156824,,,0
HS,2015,201504,April 2015,0,0,3,Re-exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,168718608,,,0
HS,2015,201506,June 2015,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,165774168,,,0
HS,2015,201506,June 2015,0,0,3,Re-exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,148105546,,,0
HS,2015,201507,July 2015,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,162238616,,,0
HS,2015,201507,July 2015,0,0,3,Re-exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,140657503,,,0
HS,2015,201510,October 2015,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,121134773,,,0
HS,2015,201510,October 2015,0,0,3,Re-exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,103348599,,,0
HS,2016,201601,January 2016,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,81591213,,,0
HS,2016,201603,March 2016,0,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,706433016,,,0
HS,2016,201603,March 2016,0,0,4,Re-imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,59505,,,0
HS,2016,201608,August 2016,0,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1051654997,,,0
HS,2016,201609,September 2016,0,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,907375512,,,0
HS,2016,201611,November 2016,0,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,889426780,,,0
HS,2017,201702,February 2017,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,67698631,,,0
HS,2017,201702,February 2017,0,0,3,Re-exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,66819935,,,0
HS,2017,201702,February 2017,0,0,4,Re-imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,27736,,,0
HS,2017,201705,May 2017,0,0,4,Re-imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,107076,,,0
HS,2017,201708,August 2017,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,60039531,,,0
HS,2019,201902,February 2019,0,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,757568969,,,0
HS,2019,201902,February 2019,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,76062668,,,0
HS,2019,201904,April 2019,0,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,882137193,,,0
HS,2019,201906,June 2019,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,69906783,,,0
HS,2019,201908,August 2019,0,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,926334555,,,0
HS,2019,201908,August 2019,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,65322342,,,0
HS,2019,201908,August 2019,0,0,3,Re-exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,57416550,,,0
HS,2019,201908,August 2019,0,0,4,Re-imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13995,,,0
HS,2019,201909,September 2019,0,0,4,Re-imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,47950,,,0
HS,2020,202008,August 2020,0,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1103139360,,,0
HS,2020,202010,October 2020,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,68781516,,,0
HS,2020,202010,October 2020,0,0,3,Re-exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,65558569,,,0
HS,2020,202012,December 2020,0,0,3,Re-exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,102230546,,,0
HS,2021,202101,January 2021,0,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1345064103,,,0
HS,2021,202102,February 2021,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,67755349,,,0
HS,2021,202110,October 2021,0,0,3,Re-exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,81742845,,,0
HS,2021,202111,November 2021,0,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1991002108,,,0
HS,2021,202111,November 2021,0,0,3,Re-exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,107193101,,,0
HS,2021,202111,November 2021,0,0,4,Re-imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,129400,,,0
HS,2021,202112,December 2021,0,0,3,Re-exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,79930782,,,0
HS,2012,201201,January 2012,0,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,714266207,,,0
HS,2012,201201,January 2012,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,77629706,,,0
HS,2012,201201,January 2012,0,0,3,Re-exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,52348553,,,0
HS,2012,201201,January 2012,0,0,4,Re-imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4757890,,,0
HS,2012,201202,February 2012,0,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,716536887,,,0
HS,2012,201202,February 2012,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,81646441,,,0
HS,2012,201202,February 2012,0,0,3,Re-exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,60221157,,,0
HS,2012,201202,February 2012,0,0,4,Re-imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5583735,,,0
HS,2012,201203,March 2012,0,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,758882911,,,0
HS,2012,201203,March 2012,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,88067433,,,0
HS,2012,201203,March 2012,0,0,3,Re-exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,62987440,,,0
HS,2012,201203,March 2012,0,0,4,Re-imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5409167,,,0
HS,2012,201204,April 2012,0,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,727802445,,,0
HS,2012,201204,April 2012,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,80455926,,,0
HS,2012,201204,April 2012,0,0,3,Re-exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,56136827,,,0
HS,2012,201204,April 2012,0,0,4,Re-imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10099121,,,0
HS,2012,201205,May 2012,0,0,1,Imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,753172799,,,0
HS,2012,201205,May 2012,0,0,2,Exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,85464401,,,0
HS,2012,201205,May 2012,0,0,3,Re-exports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,59133625,,,0
HS,2012,201205,May 2012,0,0,4,Re-imports,446,"China, Macao SAR",,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5561649,,,0
