Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201105,May 2011,0,0,1,Imports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,144110223449,,,0
HS,2011,201105,May 2011,0,0,4,Re-imports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9839151224,,,0
HS,2011,201107,July 2011,0,0,1,Imports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,143644426531,,,0
HS,2011,201107,July 2011,0,0,2,Exports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,175128036147,,,0
HS,2011,201107,July 2011,0,0,4,Re-imports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10341089046,,,0
HS,2011,201102,February 2011,0,0,4,Re-imports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6242046846,,,0
HS,2011,201105,May 2011,0,0,2,Exports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,157157191158,,,0
HS,2011,201102,February 2011,0,0,1,Imports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,104063964754,,,0
HS,2010,201008,August 2010,0,0,4,Re-imports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9727757012,,,0
HS,2011,201102,February 2011,0,0,2,Exports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,96736125592,,,0
HS,2010,201008,August 2010,0,0,1,Imports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,119266152239,,,0
HS,2010,201007,July 2010,0,0,2,Exports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,145492497771,,,0
HS,2010,201008,August 2010,0,0,2,Exports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,139302230350,,,0
HS,2011,201109,September 2011,0,0,1,Imports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,155159080400,,,0
HS,2011,201101,January 2011,0,0,1,Imports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,144273210328,,,0
HS,2011,201109,September 2011,0,0,4,Re-imports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10650918819,,,0
HS,2011,201108,August 2011,0,0,4,Re-imports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11082406222,,,0
HS,2010,201007,July 2010,0,0,1,Imports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,116797295466,,,0
HS,2010,201007,July 2010,0,0,4,Re-imports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9175818770,,,0
HS,2011,201106,June 2011,0,0,2,Exports,156,China,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,161980773258,,,0
