Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201003,March 2010,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,71530219,,,0
HS,2010,201002,February 2010,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,68413212,,,0
HS,2010,201001,January 2010,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,51091811,,,0
HS,2014,201402,February 2014,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,83715255,,,0
HS,2014,201403,March 2014,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,99455112,,,0
HS,2014,201404,April 2014,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,85562833,,,0
HS,2014,201405,May 2014,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,94109495,,,0
HS,2014,201407,July 2014,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,105552677,,,0
HS,2014,201408,August 2014,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,92959464,,,0
HS,2014,201409,September 2014,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,108074880,,,0
HS,2014,201410,October 2014,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,106593448,,,0
HS,2014,201411,November 2014,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,98080041,,,0
HS,2017,201710,October 2017,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3269568348,,,0
HS,2017,201703,March 2017,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4123191016,,,0
HS,2016,201601,January 2016,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,50567207,,,0
HS,2016,201602,February 2016,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,63277203,,,0
HS,2016,201604,April 2016,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,64065085,,,0
HS,2016,201605,May 2016,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,60644740,,,0
HS,2016,201607,July 2016,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39421916,,,0
HS,2016,201611,November 2016,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39932052,,,0
HS,2016,201612,December 2016,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33885775,,,0
HS,2017,201710,October 2017,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3940258630,,,0
HS,2017,201711,November 2017,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3986294917,,,0
HS,2017,201709,September 2017,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3731878150,,,0
HS,2017,201702,February 2017,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2714580870,,,0
HS,2017,201704,April 2017,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4030943705,,,0
HS,2017,201712,December 2017,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3635544170,,,0
HS,2018,201806,June 2018,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4226157535,,,0
HS,2018,201808,August 2018,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4580712356,,,0
HS,2018,201804,April 2018,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4238342017,,,0
HS,2018,201802,February 2018,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3650611105,,,0
HS,2018,201801,January 2018,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3895928552,,,0
HS,2018,201810,October 2018,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5165514921,,,0
HS,2018,201803,March 2018,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3906080667,,,0
HS,2021,202102,February 2021,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3904060336,,,0
HS,2010,201003,March 2010,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3465247264,,,0
HS,2010,201003,March 2010,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3435045860,,,0
HS,2010,201002,February 2010,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2836557276,,,0
HS,2010,201002,February 2010,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3001734949,,,0
HS,2010,201001,January 2010,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2737833168,,,0
HS,2010,201001,January 2010,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3029773072,,,0
HS,2014,201401,January 2014,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4844129284,,,0
HS,2014,201401,January 2014,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4808831854,,,0
HS,2014,201401,January 2014,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,53412608,,,0
HS,2014,201402,February 2014,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5003494459,,,0
HS,2014,201402,February 2014,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4271442151,,,0
HS,2014,201403,March 2014,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4911892679,,,0
HS,2014,201403,March 2014,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4408181034,,,0
HS,2014,201404,April 2014,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5454804949,,,0
HS,2014,201404,April 2014,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4316675808,,,0
HS,2014,201405,May 2014,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5423391184,,,0
HS,2014,201405,May 2014,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5495866526,,,0
HS,2014,201406,June 2014,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4923465892,,,0
HS,2014,201406,June 2014,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4698293092,,,0
HS,2014,201406,June 2014,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,70644557,,,0
HS,2014,201407,July 2014,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6084182253,,,0
HS,2014,201407,July 2014,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5048930420,,,0
HS,2014,201408,August 2014,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4901933526,,,0
HS,2014,201408,August 2014,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4813090581,,,0
HS,2014,201409,September 2014,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5791336343,,,0
HS,2014,201409,September 2014,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5069313624,,,0
HS,2014,201410,October 2014,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5847132835,,,0
HS,2014,201410,October 2014,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4301889602,,,0
HS,2014,201411,November 2014,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5354267973,,,0
HS,2014,201411,November 2014,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3794686040,,,0
HS,2014,201412,December 2014,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5487578430,,,0
HS,2014,201412,December 2014,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3767611284,,,0
HS,2014,201412,December 2014,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,89619532,,,0
HS,2015,201501,January 2015,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4844129284,,,0
HS,2015,201501,January 2015,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2875095403,,,0
HS,2015,201501,January 2015,0,0,4,Re-imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,53412608,,,0
HS,2017,201703,March 2017,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3296965052,,,0
HS,2016,201601,January 2016,0,0,2,Exports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1869035585,,,0
HS,2016,201601,January 2016,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3517024844,,,0
HS,2016,201602,February 2016,0,0,1,Imports,170,Colombia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3461092860,,,0
