Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2009,200905,May 2009,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14289389,,,0
HS,2009,200905,May 2009,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,307555,,,0
HS,2010,201005,May 2010,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14759119,,,0
HS,2010,201005,May 2010,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,833175,,,0
HS,2012,201205,May 2012,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17371223,,,0
HS,2012,201205,May 2012,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,640032,,,0
HS,2013,201302,February 2013,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,20845955,,,0
HS,2013,201302,February 2013,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1527707,,,0
HS,2013,201303,March 2013,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16791149,,,0
HS,2013,201303,March 2013,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,960194,,,0
HS,2013,201304,April 2013,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12550398,,,0
HS,2013,201304,April 2013,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1155403,,,0
HS,2013,201306,June 2013,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14671183,,,0
HS,2013,201306,June 2013,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1988901,,,0
HS,2013,201307,July 2013,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13851681,,,0
HS,2013,201307,July 2013,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1157776,,,0
HS,2013,201308,August 2013,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14992917,,,0
HS,2013,201308,August 2013,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1511449,,,0
HS,2013,201311,November 2013,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,19897573,,,0
HS,2013,201311,November 2013,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1872184,,,0
HS,2013,201312,December 2013,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16742386,,,0
HS,2013,201312,December 2013,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2381427,,,0
HS,2014,201402,February 2014,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16924709,,,0
HS,2014,201402,February 2014,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2577844,,,0
HS,2014,201407,July 2014,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,22391638,,,0
HS,2014,201407,July 2014,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2996386,,,0
HS,2014,201408,August 2014,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,19277211,,,0
HS,2014,201408,August 2014,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4191382,,,0
HS,2014,201409,September 2014,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,21504188,,,0
HS,2014,201409,September 2014,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3048654,,,0
HS,2014,201412,December 2014,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11579824,,,0
HS,2014,201412,December 2014,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,827064,,,0
HS,2015,201501,January 2015,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14533622,,,0
HS,2015,201501,January 2015,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1726958,,,0
HS,2015,201506,June 2015,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14170894,,,0
HS,2015,201506,June 2015,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,388273,,,0
HS,2016,201601,January 2016,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10762429,,,0
HS,2016,201601,January 2016,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3123328,,,0
HS,2016,201605,May 2016,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15383711,,,0
HS,2016,201605,May 2016,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,712779,,,0
HS,2016,201606,June 2016,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,19182471,,,0
HS,2016,201606,June 2016,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1052529,,,0
HS,2016,201607,July 2016,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16341061,,,0
HS,2016,201607,July 2016,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1808014,,,0
HS,2016,201608,August 2016,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,18436713,,,0
HS,2016,201608,August 2016,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2268069,,,0
HS,2016,201609,September 2016,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14961894,,,0
HS,2016,201610,October 2016,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,19911935,,,0
HS,2016,201610,October 2016,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4249178,,,0
HS,2016,201612,December 2016,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,31829186,,,0
HS,2016,201612,December 2016,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2928548,,,0
HS,2017,201707,July 2017,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1015515,,,0
HS,2017,201709,September 2017,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16589584,,,0
HS,2017,201709,September 2017,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2801689,,,0
HS,2017,201711,November 2017,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17345252,,,0
HS,2017,201712,December 2017,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,35686859,,,0
HS,2017,201712,December 2017,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7464246,,,0
HS,2018,201801,January 2018,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2067988,,,0
HS,2018,201808,August 2018,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4923913,,,0
HS,2018,201812,December 2018,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,30427845,,,0
HS,2018,201812,December 2018,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5309314,,,0
HS,2019,201902,February 2019,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14503085,,,0
HS,2019,201902,February 2019,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3259754,,,0
HS,2019,201903,March 2019,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16601941,,,0
HS,2019,201903,March 2019,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2821660,,,0
HS,2019,201904,April 2019,0,0,1,Imports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16501771,,,0
HS,2019,201904,April 2019,0,0,2,Exports,174,Comoros,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,691098,,,0
