Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201403,March 2014,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,687523002,,,0
HS,2014,201403,March 2014,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,582633040,,,0
HS,2016,201604,April 2016,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,601647364,,,0
HS,2016,201604,April 2016,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,520527321,,,0
HS,2016,201612,December 2016,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,699734167,,,0
HS,2016,201612,December 2016,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,233,,,0
HS,2017,201701,January 2017,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,325268700,,,0
HS,2017,201709,September 2017,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,823514912,,,0
HS,2018,201804,April 2018,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,241247749,,,0
HS,2018,201811,November 2018,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,289885945,,,0
HS,2018,201812,December 2018,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,291789563,,,0
HS,2014,201401,January 2014,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,408629051,,,0
HS,2014,201401,January 2014,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,637671533,,,0
HS,2014,201401,January 2014,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,283763,,,0
HS,2014,201402,February 2014,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,510881545,,,0
HS,2014,201402,February 2014,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,224651460,,,0
HS,2014,201402,February 2014,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,74368,,,0
HS,2014,201404,April 2014,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,754538885,,,0
HS,2014,201404,April 2014,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1111398890,,,0
HS,2014,201404,April 2014,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,51841,,,0
HS,2014,201405,May 2014,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,552486401,,,0
HS,2014,201405,May 2014,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1024717706,,,0
HS,2014,201406,June 2014,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,351460212,,,0
HS,2014,201406,June 2014,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1039641758,,,0
HS,2014,201407,July 2014,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,588339325,,,0
HS,2014,201407,July 2014,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,707865553,,,0
HS,2014,201407,July 2014,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3220,,,0
HS,2014,201408,August 2014,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,719467375,,,0
HS,2014,201408,August 2014,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,582430755,,,0
HS,2014,201409,September 2014,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1212182188,,,0
HS,2014,201409,September 2014,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,670539148,,,0
HS,2014,201410,October 2014,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,736220238,,,0
HS,2014,201410,October 2014,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,537531495,,,0
HS,2014,201410,October 2014,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5832,,,0
HS,2014,201411,November 2014,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1391240621,,,0
HS,2014,201411,November 2014,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1097919647,,,0
HS,2014,201412,December 2014,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1987782229,,,0
HS,2014,201412,December 2014,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,461233846,,,0
HS,2014,201412,December 2014,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,57057,,,0
HS,2015,201501,January 2015,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1041785456,,,0
HS,2015,201501,January 2015,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,609522352,,,0
HS,2015,201502,February 2015,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,749270126,,,0
HS,2015,201502,February 2015,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,467902881,,,0
HS,2015,201503,March 2015,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,485013874,,,0
HS,2015,201503,March 2015,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,236759009,,,0
HS,2015,201504,April 2015,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,780647840,,,0
HS,2015,201504,April 2015,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,427781582,,,0
HS,2015,201504,April 2015,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4181,,,0
HS,2015,201505,May 2015,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1574984982,,,0
HS,2015,201505,May 2015,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,579778709,,,0
HS,2015,201505,May 2015,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,35212,,,0
HS,2015,201506,June 2015,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,721943258,,,0
HS,2015,201506,June 2015,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,487604641,,,0
HS,2015,201506,June 2015,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1654,,,0
HS,2015,201507,July 2015,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,537901539,,,0
HS,2015,201507,July 2015,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1055378562,,,0
HS,2015,201508,August 2015,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,722875031,,,0
HS,2015,201508,August 2015,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2571089758,,,0
HS,2015,201508,August 2015,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1671,,,0
HS,2015,201509,September 2015,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1003401344,,,0
HS,2015,201509,September 2015,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,770050321,,,0
HS,2015,201510,October 2015,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,673960419,,,0
HS,2015,201510,October 2015,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,378890191,,,0
HS,2015,201511,November 2015,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,777199846,,,0
HS,2015,201511,November 2015,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,540224118,,,0
HS,2015,201512,December 2015,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1491590359,,,0
HS,2015,201512,December 2015,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,514920175,,,0
HS,2016,201601,January 2016,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1284710289,,,0
HS,2016,201601,January 2016,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1027279746,,,0
HS,2016,201601,January 2016,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,214673,,,0
HS,2016,201602,February 2016,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1338823139,,,0
HS,2016,201602,February 2016,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,148402026,,,0
HS,2016,201603,March 2016,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1708462096,,,0
HS,2016,201603,March 2016,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,604105327,,,0
HS,2016,201603,March 2016,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,25974,,,0
HS,2016,201604,April 2016,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1846,,,0
HS,2016,201605,May 2016,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,482499896,,,0
HS,2016,201605,May 2016,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1137155686,,,0
HS,2016,201605,May 2016,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5123,,,0
HS,2016,201606,June 2016,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,531074919,,,0
HS,2016,201606,June 2016,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,536234509,,,0
HS,2016,201606,June 2016,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,38119,,,0
HS,2016,201607,July 2016,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,336987882,,,0
HS,2016,201607,July 2016,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,349302870,,,0
HS,2016,201608,August 2016,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1360542749,,,0
HS,2016,201608,August 2016,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,835725043,,,0
HS,2016,201608,August 2016,0,0,4,Re-imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2523,,,0
HS,2016,201609,September 2016,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,617484702,,,0
HS,2016,201609,September 2016,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1300837566,,,0
HS,2016,201610,October 2016,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,544410505,,,0
HS,2016,201610,October 2016,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,686760015,,,0
HS,2016,201611,November 2016,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,279490828,,,0
HS,2016,201611,November 2016,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,71115682,,,0
HS,2016,201612,December 2016,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2113066174,,,0
HS,2017,201701,January 2017,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,739088613,,,0
HS,2017,201702,February 2017,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,149094145,,,0
HS,2017,201702,February 2017,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,246963977,,,0
HS,2017,201703,March 2017,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,375333794,,,0
HS,2017,201703,March 2017,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,392653526,,,0
HS,2017,201704,April 2017,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,404512736,,,0
HS,2017,201704,April 2017,0,0,2,Exports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,581269088,,,0
HS,2017,201705,May 2017,0,0,1,Imports,178,Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,459615075,,,0
