Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201112,December 2011,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1107231850,,,0
HS,2010,201001,January 2010,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1369039560,,,0
HS,2010,201003,March 2010,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1781944188,,,0
HS,2010,201003,March 2010,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1062694753,,,0
HS,2011,201102,February 2011,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1711086882,,,0
HS,2011,201102,February 2011,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1056032096,,,0
HS,2011,201108,August 2011,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1779913911,,,0
HS,2011,201108,August 2011,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1105180599,,,0
HS,2010,201008,August 2010,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1645096365,,,0
HS,2010,201008,August 2010,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,874206062,,,0
HS,2010,201012,December 2010,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1032062762,,,0
HS,2010,201009,September 2010,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1766562453,,,0
HS,2010,201007,July 2010,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1710304101,,,0
HS,2011,201104,April 2011,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2005013291,,,0
HS,2010,201004,April 2010,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,920056597,,,0
HS,2010,201006,June 2010,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,918274429,,,0
HS,2010,201005,May 2010,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1060550708,,,0
HS,2011,201107,July 2011,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1162115162,,,0
HS,2012,201201,January 2012,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,859860275,,,0
HS,2012,201203,March 2012,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1196667561,,,0
HS,2012,201206,June 2012,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1701377269,,,0
HS,2012,201206,June 2012,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,987898788,,,0
HS,2012,201207,July 2012,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1810484896,,,0
HS,2012,201208,August 2012,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1638337885,,,0
HS,2012,201209,September 2012,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1008136096,,,0
HS,2012,201210,October 2012,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1254893833,,,0
HS,2012,201211,November 2012,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1713370520,,,0
HS,2012,201212,December 2012,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1467986108,,,0
HS,2012,201212,December 2012,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,923072249,,,0
HS,2017,201705,May 2017,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1299848848,,,0
HS,2017,201705,May 2017,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2172266262,,,0
HS,2017,201706,June 2017,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2101937013,,,0
HS,2017,201708,August 2017,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2017336035,,,0
HS,2017,201709,September 2017,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2294130396,,,0
HS,2019,201906,June 2019,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2131778195,,,0
HS,2017,201704,April 2017,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1923604960,,,0
HS,2017,201701,January 2017,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1572255986,,,0
HS,2017,201711,November 2017,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2148755361,,,0
HS,2018,201809,September 2018,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2261377780,,,0
HS,2018,201810,October 2018,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2588788335,,,0
HS,2018,201812,December 2018,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1996959606,,,0
HS,2018,201803,March 2018,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2730403672,,,0
HS,2019,201909,September 2019,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1454105160,,,0
HS,2018,201808,August 2018,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2220090242,,,0
HS,2010,201002,February 2010,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,800649890,,,0
HS,2010,201002,February 2010,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1448135258,,,0
HS,2011,201112,December 2011,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1557686727,,,0
HS,2010,201001,January 2010,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,883724598,,,0
HS,2011,201103,March 2011,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1076644137,,,0
HS,2011,201103,March 2011,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2172777652,,,0
HS,2011,201107,July 2011,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2124456757,,,0
HS,2011,201110,October 2011,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1962142832,,,0
HS,2011,201110,October 2011,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1108366141,,,0
HS,2011,201111,November 2011,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1846867098,,,0
HS,2011,201111,November 2011,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1009591824,,,0
HS,2011,201109,September 2011,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1223509147,,,0
HS,2011,201109,September 2011,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2049419044,,,0
HS,2011,201106,June 2011,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1989527790,,,0
HS,2011,201106,June 2011,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1197448392,,,0
HS,2011,201105,May 2011,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2171172315,,,0
HS,2011,201105,May 2011,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1121573217,,,0
HS,2011,201101,January 2011,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,873068598,,,0
HS,2011,201101,January 2011,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1344629703,,,0
HS,2010,201012,December 2010,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1758208821,,,0
HS,2010,201010,October 2010,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1740316290,,,0
HS,2010,201010,October 2010,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1254594867,,,0
HS,2010,201009,September 2010,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1011771007,,,0
HS,2011,201104,April 2011,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1323261277,,,0
HS,2010,201007,July 2010,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,913228329,,,0
HS,2010,201011,November 2010,0,0,2,Exports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1057183517,,,0
HS,2010,201011,November 2010,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1919982650,,,0
HS,2010,201006,June 2010,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1600815866,,,0
HS,2010,201005,May 2010,0,0,1,Imports,191,Croatia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1625983998,,,0
