Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201009,September 2010,0,0,1,Imports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,650145004,,,0
HS,2010,201010,October 2010,0,0,1,Imports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,706979038,,,0
HS,2010,201003,March 2010,0,0,1,Imports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,783914113,,,0
HS,2011,201107,July 2011,0,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,158683249,,,0
HS,2011,201107,July 2011,0,0,1,Imports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,715201567,,,0
HS,2010,201005,May 2010,0,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,110728591,,,0
HS,2011,201105,May 2011,0,0,1,Imports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,751636690,,,0
HS,2011,201105,May 2011,0,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,160223176,,,0
HS,2010,201001,January 2010,0,0,1,Imports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,622671114,,,0
HS,2011,201104,April 2011,0,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,166712382,,,0
HS,2011,201111,November 2011,0,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,161681436,,,0
HS,2011,201103,March 2011,0,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,166370164,,,0
HS,2011,201103,March 2011,0,0,1,Imports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,804370207,,,0
HS,2010,201004,April 2010,0,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,100662813,,,0
HS,2010,201012,December 2010,0,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,128226231,,,0
HS,2011,201106,June 2011,0,0,1,Imports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,778038352,,,0
HS,2011,201106,June 2011,0,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,157601864,,,0
HS,2011,201112,December 2011,0,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,134660268,,,0
HS,2012,201202,February 2012,0,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,137047215,,,0
HS,2012,201203,March 2012,0,0,1,Imports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,667326404,,,0
HS,2012,201204,April 2012,0,0,1,Imports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,675778251,,,0
HS,2012,201204,April 2012,0,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,174798757,,,0
HS,2012,201206,June 2012,0,0,1,Imports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,602556541,,,0
HS,2012,201206,June 2012,0,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,154226062,,,0
HS,2012,201207,July 2012,0,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,154541970,,,0
HS,2012,201208,August 2012,0,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,124888113,,,0
HS,2012,201210,October 2012,0,0,1,Imports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,648564642,,,0
HS,2012,201210,October 2012,0,0,2,Exports,196,Cyprus,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,157458951,,,0
