Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201009,September 2010,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12076904916,,,0
HS,2010,201009,September 2010,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11498073754,,,0
HS,2011,201110,October 2011,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14044031407,,,0
HS,2010,201004,April 2010,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10656921980,,,0
HS,2010,201008,August 2010,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10134700167,,,0
HS,2011,201109,September 2011,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14250938566,,,0
HS,2011,201104,April 2011,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13575194092,,,0
HS,2011,201104,April 2011,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12814820625,,,0
HS,2010,201010,October 2010,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13109517962,,,0
HS,2011,201108,August 2011,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12980313896,,,0
HS,2011,201108,August 2011,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12792081183,,,0
HS,2012,201201,January 2012,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11277254177,,,0
HS,2012,201201,January 2012,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12780516254,,,0
HS,2012,201202,February 2012,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11858844309,,,0
HS,2012,201203,March 2012,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12889735680,,,0
HS,2012,201203,March 2012,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14868005858,,,0
HS,2012,201204,April 2012,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11982417848,,,0
HS,2012,201204,April 2012,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13150218338,,,0
HS,2012,201205,May 2012,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12901570262,,,0
HS,2012,201206,June 2012,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11359330402,,,0
HS,2012,201207,July 2012,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10639881678,,,0
HS,2012,201208,August 2012,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11808763945,,,0
HS,2012,201208,August 2012,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11001683694,,,0
HS,2012,201210,October 2012,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13018996271,,,0
HS,2013,201301,January 2013,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12674243989,,,0
HS,2013,201301,January 2013,0,0,4,Re-imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1207,,,0
HS,2012,201212,December 2012,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10725214322,,,0
HS,2013,201305,May 2013,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12690778073,,,0
HS,2013,201307,July 2013,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11139522015,,,0
HS,2013,201307,July 2013,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12641630746,,,0
HS,2013,201308,August 2013,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11330193478,,,0
HS,2013,201308,August 2013,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12458848234,,,0
HS,2018,201811,November 2018,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16576180129,,,0
HS,2015,201508,August 2015,0,0,4,Re-imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,64,,,0
HS,2021,202112,December 2021,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17665217706,,,0
HS,2017,201702,February 2017,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,12953849946,,,0
HS,2017,201702,February 2017,0,0,4,Re-imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1012,,,0
HS,2018,201802,February 2018,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14274676114,,,0
HS,2019,201901,January 2019,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16870489145,,,0
HS,2019,201901,January 2019,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14973264612,,,0
HS,2018,201810,October 2018,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17414107968,,,0
HS,2020,202009,September 2020,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18222910005,,,0
HS,2018,201804,April 2018,0,0,4,Re-imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,182,,,0
HS,2017,201711,November 2017,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15493743318,,,0
HS,2017,201711,November 2017,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17412131479,,,0
HS,2017,201710,October 2017,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15707229412,,,0
HS,2017,201712,December 2017,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14211262304,,,0
HS,2017,201712,December 2017,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13186792050,,,0
HS,2018,201803,March 2018,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17675306185,,,0
HS,2019,201902,February 2019,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14030349012,,,0
HS,2019,201908,August 2019,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14751422226,,,0
HS,2019,201905,May 2019,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17148183492,,,0
HS,2020,202006,June 2020,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13136198112,,,0
HS,2020,202007,July 2020,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15738654854,,,0
HS,2021,202101,January 2021,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17719510300,,,0
HS,2020,202011,November 2020,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17204166520,,,0
HS,2020,202010,October 2020,0,0,2,Exports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19556425489,,,0
HS,2020,202010,October 2020,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16552455907,,,0
HS,2021,202105,May 2021,0,0,1,Imports,203,Czech Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17598747228,,,0
