Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201105,May 2011,0,0,2,Exports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1251419603,,,0
HS,2010,201005,May 2010,0,0,2,Exports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,731954029,,,0
HS,2010,201011,November 2010,0,0,2,Exports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,937884382,,,0
HS,2011,201111,November 2011,0,0,2,Exports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1093169425,,,0
HS,2008,200802,February 2008,0,0,1,Imports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,827625269,,,0
HS,2008,200802,February 2008,0,0,2,Exports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,772078555,,,0
HS,2008,200806,June 2008,0,0,1,Imports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,761520471,,,0
HS,2008,200806,June 2008,0,0,2,Exports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,824908451,,,0
HS,2009,200901,January 2009,0,0,1,Imports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,401690234,,,0
HS,2013,201301,January 2013,0,0,2,Exports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1201039719,,,0
HS,2013,201306,June 2013,0,0,2,Exports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,990184715,,,0
HS,2014,201407,July 2014,0,0,1,Imports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,757291169,,,0
HS,2019,201908,August 2019,0,0,1,Imports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,849109176,,,0
HS,2017,201711,November 2017,0,0,1,Imports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,839819324,,,0
HS,2018,201812,December 2018,0,0,2,Exports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1173111845,,,0
HS,2018,201803,March 2018,0,0,1,Imports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,847389323,,,0
HS,2019,201912,December 2019,0,0,1,Imports,384,Côte d'Ivoire,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,891806940,,,0
