Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201501,January 2015,0,0,1,Imports,180,Dem.Rep. of the Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,633430544,,,0
HS,2015,201502,February 2015,0,0,1,Imports,180,Dem.Rep. of the Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,560331093,,,0
HS,2015,201503,March 2015,0,0,1,Imports,180,Dem.Rep. of the Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,619744304,,,0
HS,2015,201504,April 2015,0,0,1,Imports,180,Dem.Rep. of the Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,622134221,,,0
HS,2015,201504,April 2015,0,0,2,Exports,180,Dem.Rep. of the Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,765010435,,,0
HS,2015,201506,June 2015,0,0,1,Imports,180,Dem.Rep. of the Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,853712013,,,0
HS,2015,201507,July 2015,0,0,1,Imports,180,Dem.Rep. of the Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,683986554,,,0
HS,2015,201507,July 2015,0,0,2,Exports,180,Dem.Rep. of the Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,816481205,,,0
HS,2015,201508,August 2015,0,0,1,Imports,180,Dem.Rep. of the Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,647936789,,,0
HS,2015,201509,September 2015,0,0,1,Imports,180,Dem.Rep. of the Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1013857718,,,0
HS,2015,201509,September 2015,0,0,2,Exports,180,Dem.Rep. of the Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,713463738,,,0
HS,2015,201509,September 2015,0,0,3,Re-exports,180,Dem.Rep. of the Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,780228,,,0
HS,2015,201510,October 2015,0,0,1,Imports,180,Dem.Rep. of the Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,602562879,,,0
HS,2015,201512,December 2015,0,0,1,Imports,180,Dem.Rep. of the Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,615037593,,,0
HS,2016,201601,January 2016,0,0,1,Imports,180,Dem.Rep. of the Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,397990510,,,0
HS,2016,201602,February 2016,0,0,1,Imports,180,Dem.Rep. of the Congo,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,434438825,,,0
