Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6636337646,,,0
HS,2010,201001,January 2010,0,0,2,Exports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7198985529,,,0
HS,2010,201010,October 2010,0,0,1,Imports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7864407592,,,0
HS,2010,201010,October 2010,0,0,2,Exports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8671099091,,,0
HS,2011,201107,July 2011,0,0,1,Imports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7880056737,,,0
HS,2011,201107,July 2011,0,0,2,Exports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9280392444,,,0
HS,2010,201008,August 2010,0,0,2,Exports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7563759973,,,0
HS,2010,201008,August 2010,0,0,1,Imports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6635225885,,,0
HS,2011,201104,April 2011,0,0,1,Imports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7934456535,,,0
HS,2010,201011,November 2010,0,0,2,Exports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8994762300,,,0
HS,2011,201104,April 2011,0,0,2,Exports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9361220766,,,0
HS,2010,201002,February 2010,0,0,1,Imports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6274200617,,,0
HS,2011,201111,November 2011,0,0,2,Exports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9594499931,,,0
HS,2011,201109,September 2011,0,0,2,Exports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9729531705,,,0
HS,2011,201108,August 2011,0,0,1,Imports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8462454710,,,0
HS,2011,201108,August 2011,0,0,2,Exports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9621034961,,,0
HS,2010,201003,March 2010,0,0,1,Imports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7351879161,,,0
HS,2011,201112,December 2011,0,0,1,Imports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7833877430,,,0
HS,2010,201012,December 2010,0,0,2,Exports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8038193657,,,0
HS,2012,201201,January 2012,0,0,1,Imports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7612514835,,,0
HS,2012,201201,January 2012,0,0,2,Exports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8611979339,,,0
HS,2012,201202,February 2012,0,0,1,Imports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8037275777,,,0
HS,2012,201202,February 2012,0,0,2,Exports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8985526474,,,0
HS,2012,201203,March 2012,0,0,1,Imports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8458861429,,,0
HS,2012,201203,March 2012,0,0,2,Exports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9463753152,,,0
HS,2012,201204,April 2012,0,0,1,Imports,208,Denmark,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7614641711,,,0
