Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201101,January 2011,0,0,1,Imports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11617834,,,0
HS,2011,201101,January 2011,0,0,2,Exports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1751363,,,0
HS,2011,201101,January 2011,0,0,3,Re-exports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32850,,,0
HS,2011,201104,April 2011,0,0,2,Exports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2274938,,,0
HS,2011,201104,April 2011,0,0,3,Re-exports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,227681,,,0
HS,2011,201107,July 2011,0,0,1,Imports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19348188,,,0
HS,2011,201107,July 2011,0,0,2,Exports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3294990,,,0
HS,2011,201107,July 2011,0,0,3,Re-exports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,256871,,,0
HS,2011,201108,August 2011,0,0,1,Imports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19770020,,,0
HS,2011,201108,August 2011,0,0,2,Exports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2843028,,,0
HS,2011,201108,August 2011,0,0,3,Re-exports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,868897,,,0
HS,2011,201109,September 2011,0,0,2,Exports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2034775,,,0
HS,2011,201110,October 2011,0,0,1,Imports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18102809,,,0
HS,2011,201110,October 2011,0,0,2,Exports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2718369,,,0
HS,2011,201110,October 2011,0,0,3,Re-exports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,326168,,,0
HS,2011,201111,November 2011,0,0,1,Imports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,22391369,,,0
HS,2011,201111,November 2011,0,0,2,Exports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4506497,,,0
HS,2011,201112,December 2011,0,0,1,Imports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16754164,,,0
HS,2011,201112,December 2011,0,0,2,Exports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3258272,,,0
HS,2011,201112,December 2011,0,0,3,Re-exports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1457030,,,0
HS,2012,201201,January 2012,0,0,3,Re-exports,212,Dominica,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,288203,,,0
