Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1022405621,,,0
HS,2010,201001,January 2010,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,293126232,,,0
HS,2010,201002,February 2010,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1026388488,,,0
HS,2010,201002,February 2010,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,432188385,,,0
HS,2010,201003,March 2010,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1351989055,,,0
HS,2010,201003,March 2010,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,466794529,,,0
HS,2010,201004,April 2010,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1166720382,,,0
HS,2010,201004,April 2010,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,437654131,,,0
HS,2010,201005,May 2010,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1413256337,,,0
HS,2010,201005,May 2010,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,478899683,,,0
HS,2010,201006,June 2010,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1240268403,,,0
HS,2010,201006,June 2010,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,462922310,,,0
HS,2010,201007,July 2010,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1376398281,,,0
HS,2010,201007,July 2010,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,483756852,,,0
HS,2010,201008,August 2010,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1134468346,,,0
HS,2010,201008,August 2010,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,454109079,,,0
HS,2010,201009,September 2010,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1372267142,,,0
HS,2010,201009,September 2010,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,469665594,,,0
HS,2010,201010,October 2010,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1245984473,,,0
HS,2010,201010,October 2010,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,469769735,,,0
HS,2010,201011,November 2010,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1360007897,,,0
HS,2010,201011,November 2010,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,475468160,,,0
HS,2010,201012,December 2010,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1433673754,,,0
HS,2010,201012,December 2010,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,440279961,,,0
HS,2011,201101,January 2011,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1049014737,,,0
HS,2011,201101,January 2011,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,346117555,,,0
HS,2011,201102,February 2011,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1175673694,,,0
HS,2011,201102,February 2011,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,431794987,,,0
HS,2011,201103,March 2011,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1404940307,,,0
HS,2011,201103,March 2011,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,559703877,,,0
HS,2011,201104,April 2011,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1488492294,,,0
HS,2011,201104,April 2011,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,546572017,,,0
HS,2011,201105,May 2011,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1366711223,,,0
HS,2011,201105,May 2011,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,546843674,,,0
HS,2011,201106,June 2011,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1580657060,,,0
HS,2011,201106,June 2011,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,585785353,,,0
HS,2011,201107,July 2011,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1467895260,,,0
HS,2011,201107,July 2011,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,578698641,,,0
HS,2011,201108,August 2011,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1498622846,,,0
HS,2011,201108,August 2011,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,513351682,,,0
HS,2011,201109,September 2011,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1499336975,,,0
HS,2011,201109,September 2011,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,525069206,,,0
HS,2011,201110,October 2011,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1592591606,,,0
HS,2011,201110,October 2011,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,478858622,,,0
HS,2011,201111,November 2011,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1554250400,,,0
HS,2011,201111,November 2011,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,512074562,,,0
HS,2011,201112,December 2011,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2477946137,,,0
HS,2012,201201,January 2012,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,454081962,,,0
HS,2012,201202,February 2012,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,479180192,,,0
HS,2012,201203,March 2012,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,630170474,,,0
HS,2012,201204,April 2012,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1235553749,,,0
HS,2012,201204,April 2012,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,519793419,,,0
HS,2012,201205,May 2012,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1498018695,,,0
HS,2012,201205,May 2012,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,624983375,,,0
HS,2012,201206,June 2012,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2124715653,,,0
HS,2012,201206,June 2012,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,553339589,,,0
HS,2012,201207,July 2012,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1827033795,,,0
HS,2012,201207,July 2012,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,606830455,,,0
HS,2012,201208,August 2012,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1906027712,,,0
HS,2012,201208,August 2012,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,588851321,,,0
HS,2012,201209,September 2012,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1642613618,,,0
HS,2012,201210,October 2012,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1560581156,,,0
HS,2013,201301,January 2013,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,543601415,,,0
HS,2013,201302,February 2013,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,589167578,,,0
HS,2013,201304,April 2013,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,707664926,,,0
HS,2013,201305,May 2013,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,784310072,,,0
HS,2013,201311,November 2013,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,646636367,,,0
HS,2020,202002,February 2020,0,0,4,Re-imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1949600,,,0
HS,2020,202003,March 2020,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1689931298,,,0
HS,2020,202004,April 2020,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1300658197,,,0
HS,2020,202006,June 2020,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1337075902,,,0
HS,2020,202011,November 2020,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1655769276,,,0
HS,2020,202011,November 2020,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,872806032,,,0
HS,2011,201112,December 2011,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,487654023,,,0
HS,2012,201201,January 2012,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1057315513,,,0
HS,2012,201202,February 2012,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1187143090,,,0
HS,2012,201203,March 2012,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1341929771,,,0
HS,2012,201209,September 2012,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,621675351,,,0
HS,2012,201210,October 2012,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,580783874,,,0
HS,2012,201211,November 2012,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1805384226,,,0
HS,2012,201211,November 2012,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,737846763,,,0
HS,2012,201212,December 2012,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2014149045,,,0
HS,2012,201212,December 2012,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,504943930,,,0
HS,2013,201301,January 2013,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1068601470,,,0
HS,2013,201302,February 2013,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1477224116,,,0
HS,2013,201303,March 2013,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1378947713,,,0
HS,2013,201303,March 2013,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,663471172,,,0
HS,2013,201304,April 2013,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1658728095,,,0
HS,2013,201305,May 2013,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1828081900,,,0
HS,2013,201306,June 2013,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1497229108,,,0
HS,2013,201306,June 2013,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,665244828,,,0
HS,2013,201307,July 2013,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1785016630,,,0
HS,2013,201307,July 2013,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,717120330,,,0
HS,2013,201308,August 2013,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1527355039,,,0
HS,2013,201308,August 2013,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,684526889,,,0
HS,2013,201309,September 2013,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1764372176,,,0
HS,2013,201309,September 2013,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,629516983,,,0
HS,2013,201310,October 2013,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2036855798,,,0
HS,2013,201310,October 2013,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,739382079,,,0
HS,2013,201311,November 2013,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1655816219,,,0
HS,2013,201312,December 2013,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1671605862,,,0
HS,2013,201312,December 2013,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,590341846,,,0
HS,2018,201801,January 2018,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1615831548,,,0
HS,2018,201801,January 2018,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,672861619,,,0
HS,2018,201802,February 2018,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1509889724,,,0
HS,2018,201802,February 2018,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,717637184,,,0
HS,2018,201803,March 2018,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1948688683,,,0
HS,2018,201803,March 2018,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,835052941,,,0
HS,2020,202001,January 2020,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1719711768,,,0
HS,2020,202001,January 2020,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,795677531,,,0
HS,2020,202001,January 2020,0,0,4,Re-imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1578749,,,0
HS,2020,202002,February 2020,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1496411502,,,0
HS,2020,202002,February 2020,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,893984513,,,0
HS,2020,202003,March 2020,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,811881050,,,0
HS,2020,202003,March 2020,0,0,4,Re-imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2431347,,,0
HS,2020,202004,April 2020,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,541255272,,,0
HS,2020,202004,April 2020,0,0,4,Re-imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1722237,,,0
HS,2020,202005,May 2020,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1203675779,,,0
HS,2020,202005,May 2020,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,656569678,,,0
HS,2020,202005,May 2020,0,0,4,Re-imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1163398,,,0
HS,2020,202006,June 2020,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,793397801,,,0
HS,2020,202006,June 2020,0,0,4,Re-imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2382996,,,0
HS,2020,202007,July 2020,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1408459685,,,0
HS,2020,202007,July 2020,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,859329617,,,0
HS,2020,202007,July 2020,0,0,4,Re-imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2333518,,,0
HS,2020,202008,August 2020,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1428410684,,,0
HS,2020,202008,August 2020,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,893739693,,,0
HS,2020,202008,August 2020,0,0,4,Re-imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4054570,,,0
HS,2020,202009,September 2020,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1577330145,,,0
HS,2020,202009,September 2020,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,890823914,,,0
HS,2020,202009,September 2020,0,0,4,Re-imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,3815422,,,0
HS,2020,202010,October 2020,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1703285916,,,0
HS,2020,202010,October 2020,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,924037372,,,0
HS,2020,202010,October 2020,0,0,4,Re-imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2043100,,,0
HS,2020,202011,November 2020,0,0,4,Re-imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1952703,,,0
HS,2020,202012,December 2020,0,0,1,Imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1920177750,,,0
HS,2020,202012,December 2020,0,0,2,Exports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,911248268,,,0
HS,2020,202012,December 2020,0,0,4,Re-imports,214,Dominican Rep.,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1316029,,,0
