Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201006,June 2010,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,169508217347,,,0
HS,2017,201712,December 2017,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,174114424286,,,0
HS,2016,201603,March 2016,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,167488064112,,,0
HS,2013,201306,June 2013,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,180715840486,,,0
HS,2013,201306,June 2013,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,192159815201,,,0
HS,2012,201209,September 2012,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,195174066978,,,0
HS,2013,201305,May 2013,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,181954403266,,,0
HS,2015,201511,November 2015,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,153537480561,,,0
HS,2021,202107,July 2021,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,192131316222,,,0
HS,2018,201802,February 2018,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,180689472611,,,0
HS,2016,201601,January 2016,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,144601220144,,,0
HS,2016,201602,February 2016,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,151911796873,,,0
HS,2021,202102,February 2021,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,173088847136,,,0
HS,2016,201602,February 2016,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,149060992931,,,0
HS,2016,201609,September 2016,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,165405849270,,,0
HS,2017,201704,April 2017,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,155782220200,,,0
HS,2016,201611,November 2016,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,162804888683,,,0
HS,2016,201611,November 2016,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,169032932282,,,0
HS,2016,201607,July 2016,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,157352853544,,,0
HS,2016,201608,August 2016,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,162137531053,,,0
HS,2012,201210,October 2012,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,197832345242,,,0
HS,2012,201201,January 2012,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,161433088037,,,0
HS,2019,201909,September 2019,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,185251457994,,,0
HS,2016,201605,May 2016,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,161399048997,,,0
HS,2016,201610,October 2016,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,158377329401,,,0
HS,2021,202101,January 2021,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,162238414064,,,0
HS,2017,201703,March 2017,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,177855534628,,,0
HS,2017,201708,August 2017,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,171907096795,,,0
HS,2020,202007,July 2020,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,193004871562,,,0
HS,2019,201908,August 2019,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,186637609235,,,0
HS,2018,201803,March 2018,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,211585602769,,,0
HS,2018,201808,August 2018,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,193638055934,,,0
HS,2016,201606,June 2016,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,170643448071,,,0
HS,2018,201806,June 2018,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,193480712944,,,0
HS,2016,201612,December 2016,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,173854697273,,,0
HS,2016,201610,October 2016,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,162008143967,,,0
HS,2020,202007,July 2020,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,163747237273,,,0
HS,2018,201810,October 2018,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,216108774282,,,0
HS,2019,201904,April 2019,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,192285278437,,,0
HS,2019,201904,April 2019,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,192497931297,,,0
HS,2020,202008,August 2020,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,164971258540,,,0
HS,2019,201912,December 2019,0,0,2,Exports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,190076201332,,,0
HS,2018,201811,November 2018,0,0,1,Imports,97,EU-28,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,201266612568,,,0
