Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1519926939,,,0
HS,2011,201110,October 2011,0,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2155038112,,,0
HS,2011,201110,October 2011,0,0,2,Exports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1827860047,,,0
HS,2011,201106,June 2011,0,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2094784625,,,0
HS,2011,201106,June 2011,0,0,2,Exports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1863189078,,,0
HS,2011,201102,February 2011,0,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1605752829,,,0
HS,2011,201102,February 2011,0,0,2,Exports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1690476639,,,0
HS,2011,201107,July 2011,0,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1903528910,,,0
HS,2011,201107,July 2011,0,0,2,Exports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1974010370,,,0
HS,2011,201105,May 2011,0,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2049341477,,,0
HS,2011,201105,May 2011,0,0,2,Exports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2009483612,,,0
HS,2010,201005,May 2010,0,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1607902143,,,0
HS,2010,201005,May 2010,0,0,2,Exports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1360061616,,,0
HS,2010,201011,November 2010,0,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1981504697,,,0
HS,2010,201011,November 2010,0,0,2,Exports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1489381383,,,0
HS,2011,201109,September 2011,0,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2193488667,,,0
HS,2011,201109,September 2011,0,0,2,Exports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1856081731,,,0
HS,2011,201104,April 2011,0,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1959918819,,,0
HS,2011,201104,April 2011,0,0,2,Exports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1831303651,,,0
HS,2011,201108,August 2011,0,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2123043542,,,0
HS,2010,201010,October 2010,0,0,1,Imports,218,Ecuador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1858661804,,,0
