Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201002,February 2010,0,0,1,Imports,818,Egypt,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3648850137,,,0
HS,2010,201003,March 2010,0,0,1,Imports,818,Egypt,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4531185315,,,0
HS,2010,201008,August 2010,0,0,1,Imports,818,Egypt,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4765175666,,,0
HS,2010,201008,August 2010,0,0,2,Exports,818,Egypt,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2146426888,,,0
HS,2010,201007,July 2010,0,0,1,Imports,818,Egypt,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4981057895,,,0
HS,2010,201011,November 2010,0,0,1,Imports,818,Egypt,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4481639035,,,0
HS,2010,201011,November 2010,0,0,2,Exports,818,Egypt,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2177526541,,,0
HS,2010,201004,April 2010,0,0,1,Imports,818,Egypt,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4100226337,,,0
HS,2011,201108,August 2011,0,0,2,Exports,818,Egypt,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2229485555,,,0
HS,2011,201108,August 2011,0,0,1,Imports,818,Egypt,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5276449843,,,0
HS,2010,201005,May 2010,0,0,2,Exports,818,Egypt,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2525433887,,,0
HS,2010,201005,May 2010,0,0,1,Imports,818,Egypt,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4195686477,,,0
HS,2011,201107,July 2011,0,0,1,Imports,818,Egypt,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4936667863,,,0
HS,2011,201106,June 2011,0,0,2,Exports,818,Egypt,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2971755990,,,0
HS,2010,201012,December 2010,0,0,1,Imports,818,Egypt,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5035130565,,,0
