Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201106,June 2011,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,866345246,,,0
HS,2011,201102,February 2011,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,758840378,,,0
HS,2010,201005,May 2010,0,0,4,Re-imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,226205,,,0
HS,2010,201005,May 2010,0,0,2,Exports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,370430061,,,0
HS,2010,201012,December 2010,0,0,2,Exports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,378898994,,,0
HS,2010,201006,June 2010,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,771761652,,,0
HS,2011,201101,January 2011,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,689059621,,,0
HS,2011,201101,January 2011,0,0,2,Exports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,408654414,,,0
HS,2010,201001,January 2010,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,638389534,,,0
HS,2011,201106,June 2011,0,0,2,Exports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,465736723,,,0
HS,2011,201103,March 2011,0,0,2,Exports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,531992850,,,0
HS,2012,201211,November 2012,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,860867734,,,0
HS,2014,201406,June 2014,0,0,4,Re-imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,571354,,,0
HS,2014,201410,October 2014,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,891999647,,,0
HS,2015,201505,May 2015,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,882721688,,,0
HS,2015,201509,September 2015,0,0,4,Re-imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,701132,,,0
HS,2015,201512,December 2015,0,0,4,Re-imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,666900,,,0
HS,2015,201510,October 2015,0,0,4,Re-imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,554973,,,0
HS,2016,201603,March 2016,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,784446515,,,0
HS,2016,201603,March 2016,0,0,4,Re-imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,562090,,,0
HS,2016,201612,December 2016,0,0,4,Re-imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,449461,,,0
HS,2016,201612,December 2016,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,812737896,,,0
HS,2016,201611,November 2016,0,0,4,Re-imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,317035,,,0
HS,2016,201611,November 2016,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,865818767,,,0
HS,2015,201501,January 2015,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,857229252,,,0
HS,2017,201709,September 2017,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,826779575,,,0
HS,2014,201403,March 2014,0,0,2,Exports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,476684565,,,0
HS,2012,201212,December 2012,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,835318000,,,0
HS,2015,201504,April 2015,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,819886572,,,0
HS,2014,201409,September 2014,0,0,4,Re-imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,234462,,,0
HS,2015,201502,February 2015,0,0,2,Exports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,480412165,,,0
HS,2015,201502,February 2015,0,0,4,Re-imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,275361,,,0
HS,2014,201405,May 2014,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,973117768,,,0
HS,2015,201511,November 2015,0,0,4,Re-imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,647935,,,0
HS,2014,201410,October 2014,0,0,4,Re-imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,132367,,,0
HS,2013,201304,April 2013,0,0,4,Re-imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,375599,,,0
HS,2013,201304,April 2013,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,959314264,,,0
HS,2018,201811,November 2018,0,0,2,Exports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,478803235,,,0
HS,2018,201811,November 2018,0,0,4,Re-imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,957417,,,0
HS,2018,201811,November 2018,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1014423394,,,0
HS,2015,201508,August 2015,0,0,4,Re-imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,545623,,,0
HS,2015,201508,August 2015,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,806091032,,,0
HS,2015,201509,September 2015,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,867797571,,,0
HS,2014,201401,January 2014,0,0,4,Re-imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,391836,,,0
HS,2012,201209,September 2012,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,790054630,,,0
HS,2018,201812,December 2018,0,0,1,Imports,222,El Salvador,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,908377234,,,0
