Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,876480614,,,0
HS,2010,201001,January 2010,0,0,4,Re-imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1238936,,,0
HS,2010,201010,October 2010,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1161580092,,,0
HS,2010,201010,October 2010,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1178278088,,,0
HS,2010,201009,September 2010,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1088774288,,,0
HS,2011,201106,June 2011,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1443673647,,,0
HS,2011,201110,October 2011,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1408944070,,,0
HS,2011,201101,January 2011,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1091096678,,,0
HS,2011,201107,July 2011,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1439730350,,,0
HS,2011,201107,July 2011,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1320943039,,,0
HS,2010,201008,August 2010,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,920837794,,,0
HS,2010,201005,May 2010,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,910576133,,,0
HS,2011,201105,May 2011,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1597685465,,,0
HS,2011,201105,May 2011,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1634436869,,,0
HS,2011,201109,September 2011,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1510196384,,,0
HS,2011,201111,November 2011,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1497139646,,,0
HS,2011,201108,August 2011,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1457105599,,,0
HS,2011,201112,December 2011,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1302799278,,,0
HS,2011,201112,December 2011,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1219492618,,,0
HS,2010,201012,December 2010,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1223879303,,,0
HS,2010,201002,February 2010,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,884190394,,,0
HS,2010,201002,February 2010,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,947697330,,,0
HS,2012,201201,January 2012,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1295769589,,,0
HS,2012,201202,February 2012,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1283425645,,,0
HS,2012,201203,March 2012,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1576372452,,,0
HS,2012,201203,March 2012,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1410391144,,,0
HS,2012,201204,April 2012,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1460253391,,,0
HS,2012,201204,April 2012,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1336200620,,,0
HS,2012,201205,May 2012,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1323443051,,,0
HS,2012,201206,June 2012,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1421609936,,,0
HS,2012,201206,June 2012,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1289592735,,,0
HS,2012,201207,July 2012,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1288911795,,,0
HS,2012,201208,August 2012,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1390040856,,,0
HS,2012,201208,August 2012,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1524390243,,,0
HS,2012,201209,September 2012,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1490566453,,,0
HS,2012,201209,September 2012,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1447079986,,,0
HS,2012,201211,November 2012,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1482126903,,,0
HS,2012,201212,December 2012,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1441777187,,,0
HS,2012,201212,December 2012,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1168372728,,,0
HS,2012,201210,October 2012,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1684685265,,,0
HS,2012,201210,October 2012,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1445259281,,,0
HS,2013,201302,February 2013,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1424056602,,,0
HS,2019,201910,October 2019,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1669002204,,,0
HS,2013,201304,April 2013,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1398787978,,,0
HS,2013,201304,April 2013,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1564874221,,,0
HS,2013,201305,May 2013,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1526399556,,,0
HS,2013,201306,June 2013,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1282609992,,,0
HS,2013,201307,July 2013,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1231018850,,,0
HS,2013,201307,July 2013,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1461544132,,,0
HS,2013,201308,August 2013,0,0,1,Imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1453725840,,,0
HS,2013,201308,August 2013,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1335424217,,,0
HS,2014,201402,February 2014,0,0,4,Re-imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1254651,,,0
HS,2014,201403,March 2014,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1526183071,,,0
HS,2014,201408,August 2014,0,0,4,Re-imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1467929,,,0
HS,2015,201501,January 2015,0,0,4,Re-imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,898948,,,0
HS,2015,201503,March 2015,0,0,4,Re-imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,970909,,,0
HS,2015,201504,April 2015,0,0,4,Re-imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,878940,,,0
HS,2016,201602,February 2016,0,0,4,Re-imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,823210,,,0
HS,2016,201606,June 2016,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,923203860,,,0
HS,2016,201606,June 2016,0,0,4,Re-imports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1115580,,,0
HS,2016,201608,August 2016,0,0,2,Exports,233,Estonia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1224620669,,,0
