Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201002,February 2010,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,152585812,,,0
HS,2010,201004,April 2010,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,139225756,,,0
HS,2010,201007,July 2010,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,150689572,,,0
HS,2010,201009,September 2010,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,170508959,,,0
HS,2013,201308,August 2013,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,191923166,,,0
HS,2013,201310,October 2013,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,183511563,,,0
HS,2017,201709,September 2017,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,136906425,,,0
HS,2017,201709,September 2017,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,163405189,,,0
HS,2018,201807,July 2018,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,152603274,,,0
HS,2018,201812,December 2018,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,138491063,,,0
HS,2018,201812,December 2018,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,167966724,,,0
HS,2019,201902,February 2019,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,141572902,,,0
HS,2019,201904,April 2019,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,142075028,,,0
HS,2019,201909,September 2019,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,148116185,,,0
HS,2010,201001,January 2010,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,140266882,,,0
HS,2010,201001,January 2010,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,117513590,,,0
HS,2010,201002,February 2010,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,93072400,,,0
HS,2010,201003,March 2010,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,154932779,,,0
HS,2010,201003,March 2010,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,108321036,,,0
HS,2010,201004,April 2010,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,152033878,,,0
HS,2010,201004,April 2010,0,0,4,Re-imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,37,,,0
HS,2010,201005,May 2010,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,144146193,,,0
HS,2010,201005,May 2010,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,117330398,,,0
HS,2010,201006,June 2010,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,149197030,,,0
HS,2010,201006,June 2010,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,116903685,,,0
HS,2010,201007,July 2010,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,110839283,,,0
HS,2010,201007,July 2010,0,0,4,Re-imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2899,,,0
HS,2010,201008,August 2010,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,174752634,,,0
HS,2010,201008,August 2010,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,156225218,,,0
HS,2010,201009,September 2010,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,179688128,,,0
HS,2010,201010,October 2010,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,203063270,,,0
HS,2010,201010,October 2010,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,147577648,,,0
HS,2010,201010,October 2010,0,0,4,Re-imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16943,,,0
HS,2010,201011,November 2010,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,193891153,,,0
HS,2010,201011,November 2010,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,154917183,,,0
HS,2010,201011,November 2010,0,0,4,Re-imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4494,,,0
HS,2010,201012,December 2010,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,290233711,,,0
HS,2010,201012,December 2010,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,82094988,,,0
HS,2011,201101,January 2011,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,301541706,,,0
HS,2011,201101,January 2011,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,423897980,,,0
HS,2011,201102,February 2011,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,519240051,,,0
HS,2011,201102,February 2011,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,382388382,,,0
HS,2011,201103,March 2011,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,777410308,,,0
HS,2011,201103,March 2011,0,0,2,Exports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,273980198,,,0
HS,2011,201104,April 2011,0,0,1,Imports,748,Swaziland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,125845616,,,0
