Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201003,March 2010,0,0,2,Exports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,121735167,,,0
HS,2010,201009,September 2010,0,0,3,Re-exports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,39806,,,0
HS,2010,201009,September 2010,0,0,2,Exports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,85929170,,,0
HS,2011,201112,December 2011,0,0,4,Re-imports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,101091,,,0
HS,2010,201005,May 2010,0,0,4,Re-imports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,31225,,,0
HS,2009,200906,June 2009,0,0,2,Exports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,89610851,,,0
HS,2011,201109,September 2011,0,0,1,Imports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,809643582,,,0
HS,2011,201109,September 2011,0,0,4,Re-imports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,95466,,,0
HS,2011,201105,May 2011,0,0,4,Re-imports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,72049,,,0
HS,2000,200012,December 2000,0,0,1,Imports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,133228109,,,0
HS,2000,200012,December 2000,0,0,2,Exports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,26100346,,,0
HS,2000,200011,November 2000,0,0,2,Exports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,30384420,,,0
HS,2000,200011,November 2000,0,0,1,Imports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,81743234,,,0
HS,2000,200008,August 2000,0,0,1,Imports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,115439316,,,0
HS,2000,200008,August 2000,0,0,2,Exports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,36555399,,,0
HS,2002,200203,March 2002,0,0,1,Imports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,129769819,,,0
HS,2002,200203,March 2002,0,0,2,Exports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40915132,,,0
HS,2001,200110,October 2001,0,0,1,Imports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,190738260,,,0
HS,2001,200102,February 2001,0,0,2,Exports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45914335,,,0
HS,2004,200404,April 2004,0,0,2,Exports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,54095791,,,0
HS,2004,200404,April 2004,0,0,1,Imports,231,Ethiopia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,244460951,,,0
