Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2014,201407,July 2014,0,0,1,Imports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,296981890,,,0
HS,2014,201408,August 2014,0,0,1,Imports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,272695239,,,0
HS,2014,201409,September 2014,0,0,1,Imports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,402477353,,,0
HS,2014,201401,January 2014,0,0,1,Imports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,192941427,,,0
HS,2014,201401,January 2014,0,0,2,Exports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21682722,,,0
HS,2014,201402,February 2014,0,0,1,Imports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,182190750,,,0
HS,2014,201402,February 2014,0,0,2,Exports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,37466814,,,0
HS,2014,201403,March 2014,0,0,1,Imports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,236757431,,,0
HS,2014,201403,March 2014,0,0,2,Exports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36650418,,,0
HS,2014,201404,April 2014,0,0,1,Imports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,196624441,,,0
HS,2014,201404,April 2014,0,0,2,Exports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32594089,,,0
HS,2014,201404,April 2014,0,0,4,Re-imports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32775,,,0
HS,2014,201405,May 2014,0,0,1,Imports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,199527272,,,0
HS,2014,201405,May 2014,0,0,2,Exports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,56029053,,,0
HS,2014,201405,May 2014,0,0,4,Re-imports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,46090,,,0
HS,2014,201406,June 2014,0,0,1,Imports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,342303844,,,0
HS,2014,201406,June 2014,0,0,2,Exports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,61339697,,,0
HS,2014,201406,June 2014,0,0,4,Re-imports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2731,,,0
HS,2014,201407,July 2014,0,0,2,Exports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,52166774,,,0
HS,2014,201408,August 2014,0,0,2,Exports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,73629235,,,0
HS,2014,201408,August 2014,0,0,4,Re-imports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1122,,,0
HS,2014,201409,September 2014,0,0,2,Exports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,72718015,,,0
HS,2014,201410,October 2014,0,0,1,Imports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,285508963,,,0
HS,2014,201410,October 2014,0,0,2,Exports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,52269342,,,0
HS,2014,201411,November 2014,0,0,1,Imports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,200858024,,,0
HS,2014,201411,November 2014,0,0,2,Exports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,52155096,,,0
HS,2014,201412,December 2014,0,0,1,Imports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,315582609,,,0
HS,2014,201412,December 2014,0,0,2,Exports,242,Fiji,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,54277769,,,0
