Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2009,200901,January 2009,0,0,1,Imports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,551790788,,,0
HS,2009,200901,January 2009,0,0,2,Exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,247201238,,,0
HS,2009,200901,January 2009,0,0,3,Re-exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17149519,,,0
HS,2009,200902,February 2009,0,0,1,Imports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,854932919,,,0
HS,2009,200902,February 2009,0,0,2,Exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,240510819,,,0
HS,2009,200902,February 2009,0,0,3,Re-exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12121867,,,0
HS,2009,200903,March 2009,0,0,1,Imports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,813687906,,,0
HS,2009,200903,March 2009,0,0,2,Exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,342880404,,,0
HS,2009,200903,March 2009,0,0,3,Re-exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1197392,,,0
HS,2009,200905,May 2009,0,0,1,Imports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,589339667,,,0
HS,2009,200905,May 2009,0,0,2,Exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,480517822,,,0
HS,2009,200904,April 2009,0,0,1,Imports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,820892748,,,0
HS,2009,200904,April 2009,0,0,2,Exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,461293645,,,0
HS,2009,200904,April 2009,0,0,3,Re-exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8759177,,,0
HS,2009,200910,October 2009,0,0,2,Exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,569599944,,,0
HS,2009,200910,October 2009,0,0,3,Re-exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1539927,,,0
HS,2009,200910,October 2009,0,0,1,Imports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,887661020,,,0
HS,2009,200909,September 2009,0,0,1,Imports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,463296048,,,0
HS,2009,200909,September 2009,0,0,3,Re-exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1018075,,,0
HS,2009,200909,September 2009,0,0,2,Exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,407568885,,,0
HS,2009,200908,August 2009,0,0,1,Imports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,328851028,,,0
HS,2009,200908,August 2009,0,0,2,Exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,231475440,,,0
HS,2009,200908,August 2009,0,0,3,Re-exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5645314,,,0
HS,2009,200905,May 2009,0,0,3,Re-exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10875085,,,0
HS,2009,200906,June 2009,0,0,1,Imports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,653896185,,,0
HS,2009,200906,June 2009,0,0,2,Exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,395806430,,,0
HS,2009,200906,June 2009,0,0,3,Re-exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,950660,,,0
HS,2009,200907,July 2009,0,0,1,Imports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,391120956,,,0
HS,2009,200907,July 2009,0,0,2,Exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,309766071,,,0
HS,2009,200907,July 2009,0,0,3,Re-exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,502389,,,0
HS,2010,201012,December 2010,0,0,1,Imports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1105358853,,,0
HS,2010,201012,December 2010,0,0,2,Exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5796422522,,,0
HS,2010,201012,December 2010,0,0,3,Re-exports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,517710,,,0
HS,2009,200912,December 2009,0,0,1,Imports,736,Former Sudan,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1069254541,,,0
