Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201011,November 2010,0,0,1,Imports,251,France,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,57972468554,,,0
HS,2010,201009,September 2010,0,0,1,Imports,251,France,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,51641580046,,,0
HS,2010,201010,October 2010,0,0,1,Imports,251,France,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,52754340692,,,0
HS,2010,201009,September 2010,0,0,2,Exports,251,France,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,44125750534,,,0
HS,2011,201106,June 2011,0,0,1,Imports,251,France,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,61058061970,,,0
HS,2011,201106,June 2011,0,0,2,Exports,251,France,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,51545665359,,,0
HS,2010,201007,July 2010,0,0,1,Imports,251,France,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,49397356410,,,0
HS,2011,201107,July 2011,0,0,1,Imports,251,France,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,58214856842,,,0
HS,2010,201012,December 2010,0,0,2,Exports,251,France,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45106056527,,,0
HS,2011,201111,November 2011,0,0,1,Imports,251,France,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,60819834486,,,0
HS,2011,201109,September 2011,0,0,2,Exports,251,France,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,51146203957,,,0
HS,2011,201112,December 2011,0,0,2,Exports,251,France,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,47041068606,,,0
HS,2010,201001,January 2010,0,0,2,Exports,251,France,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39520193691,,,0
