Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2015,201502,February 2015,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,101904530,,,0
HS,2015,201506,June 2015,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13609520,,,0
HS,2015,201506,June 2015,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1374,,,0
HS,2017,201710,October 2017,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,160322133,,,0
HS,2018,201812,December 2018,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,362462668,,,0
HS,2018,201812,December 2018,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9394844,,,0
HS,2019,201910,October 2019,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17115086,,,0
HS,2014,201401,January 2014,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,156761537,,,0
HS,2014,201401,January 2014,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8636897,,,0
HS,2014,201401,January 2014,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,18,,,0
HS,2014,201402,February 2014,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,117725304,,,0
HS,2014,201402,February 2014,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11837847,,,0
HS,2014,201403,March 2014,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,148902918,,,0
HS,2014,201403,March 2014,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23133973,,,0
HS,2014,201403,March 2014,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,167645,,,0
HS,2014,201404,April 2014,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,150057754,,,0
HS,2014,201404,April 2014,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15025662,,,0
HS,2014,201404,April 2014,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,59420,,,0
HS,2014,201405,May 2014,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,149482380,,,0
HS,2014,201405,May 2014,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9863846,,,0
HS,2014,201406,June 2014,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,149598639,,,0
HS,2014,201406,June 2014,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9501743,,,0
HS,2014,201407,July 2014,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,178777521,,,0
HS,2014,201407,July 2014,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,20535979,,,0
HS,2014,201407,July 2014,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2002,,,0
HS,2014,201408,August 2014,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,150042500,,,0
HS,2014,201408,August 2014,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19907594,,,0
HS,2014,201408,August 2014,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,296,,,0
HS,2014,201409,September 2014,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,152245468,,,0
HS,2014,201409,September 2014,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9180726,,,0
HS,2014,201409,September 2014,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,30,,,0
HS,2014,201410,October 2014,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,147363431,,,0
HS,2014,201410,October 2014,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13897582,,,0
HS,2014,201410,October 2014,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15054,,,0
HS,2014,201411,November 2014,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,156823059,,,0
HS,2014,201411,November 2014,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16600002,,,0
HS,2014,201411,November 2014,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,50312,,,0
HS,2014,201412,December 2014,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,163214757,,,0
HS,2014,201412,December 2014,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17736320,,,0
HS,2014,201412,December 2014,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35690,,,0
HS,2015,201501,January 2015,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,111804390,,,0
HS,2015,201501,January 2015,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4449714,,,0
HS,2015,201501,January 2015,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,520178,,,0
HS,2015,201502,February 2015,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10533479,,,0
HS,2015,201502,February 2015,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,317,,,0
HS,2015,201503,March 2015,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,123298046,,,0
HS,2015,201503,March 2015,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8806326,,,0
HS,2015,201503,March 2015,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,324,,,0
HS,2015,201504,April 2015,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,140653654,,,0
HS,2015,201504,April 2015,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21798536,,,0
HS,2015,201504,April 2015,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,44510,,,0
HS,2015,201505,May 2015,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,119991853,,,0
HS,2015,201505,May 2015,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7179950,,,0
HS,2015,201506,June 2015,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,133296216,,,0
HS,2015,201507,July 2015,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,139366255,,,0
HS,2015,201507,July 2015,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16267103,,,0
HS,2015,201507,July 2015,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14293,,,0
HS,2015,201508,August 2015,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,127009311,,,0
HS,2015,201508,August 2015,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7546885,,,0
HS,2015,201508,August 2015,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,576,,,0
HS,2015,201509,September 2015,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,132179377,,,0
HS,2015,201509,September 2015,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7865305,,,0
HS,2015,201509,September 2015,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1320,,,0
HS,2015,201510,October 2015,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,114114170,,,0
HS,2015,201510,October 2015,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8688303,,,0
HS,2015,201511,November 2015,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,175176137,,,0
HS,2015,201511,November 2015,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,17879005,,,0
HS,2015,201512,December 2015,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,160359438,,,0
HS,2015,201512,December 2015,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10005873,,,0
HS,2015,201512,December 2015,0,0,4,Re-imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3202,,,0
HS,2016,201601,January 2016,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,108621824,,,0
HS,2016,201601,January 2016,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6639012,,,0
HS,2016,201602,February 2016,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,113254464,,,0
HS,2016,201602,February 2016,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10561066,,,0
HS,2016,201603,March 2016,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,109796143,,,0
HS,2016,201603,March 2016,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14291999,,,0
HS,2016,201604,April 2016,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,123258234,,,0
HS,2016,201604,April 2016,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,13497065,,,0
HS,2016,201605,May 2016,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,117371353,,,0
HS,2016,201605,May 2016,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7053442,,,0
HS,2016,201606,June 2016,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,128400123,,,0
HS,2016,201606,June 2016,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,8631217,,,0
HS,2016,201607,July 2016,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,117141027,,,0
HS,2016,201607,July 2016,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29838035,,,0
HS,2016,201608,August 2016,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,132675689,,,0
HS,2016,201608,August 2016,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7210337,,,0
HS,2016,201609,September 2016,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,130167630,,,0
HS,2016,201609,September 2016,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,30593273,,,0
HS,2016,201610,October 2016,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,141744905,,,0
HS,2016,201610,October 2016,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,8508102,,,0
HS,2016,201611,November 2016,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,136568273,,,0
HS,2016,201611,November 2016,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14730307,,,0
HS,2016,201612,December 2016,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,165050056,,,0
HS,2016,201612,December 2016,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,46319236,,,0
HS,2017,201701,January 2017,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,120901399,,,0
HS,2017,201701,January 2017,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7718586,,,0
HS,2017,201702,February 2017,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,108076994,,,0
HS,2017,201702,February 2017,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,8003974,,,0
HS,2017,201703,March 2017,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,131188808,,,0
HS,2017,201703,March 2017,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16714569,,,0
HS,2017,201704,April 2017,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,131074472,,,0
HS,2017,201704,April 2017,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14936923,,,0
HS,2017,201705,May 2017,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,168906520,,,0
HS,2017,201705,May 2017,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17877540,,,0
HS,2017,201706,June 2017,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,134954116,,,0
HS,2017,201706,June 2017,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10190372,,,0
HS,2017,201707,July 2017,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,137482911,,,0
HS,2017,201707,July 2017,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23025603,,,0
HS,2017,201708,August 2017,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,139769910,,,0
HS,2017,201708,August 2017,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12162680,,,0
HS,2017,201709,September 2017,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,144825961,,,0
HS,2017,201709,September 2017,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12383490,,,0
HS,2017,201710,October 2017,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11318469,,,0
HS,2017,201711,November 2017,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,155825471,,,0
HS,2017,201711,November 2017,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,24219148,,,0
HS,2017,201712,December 2017,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,133240284,,,0
HS,2017,201712,December 2017,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10873763,,,0
HS,2018,201801,January 2018,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,137958175,,,0
HS,2018,201801,January 2018,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,14067627,,,0
HS,2018,201802,February 2018,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,140734638,,,0
HS,2018,201802,February 2018,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,15069932,,,0
HS,2018,201803,March 2018,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,146179859,,,0
HS,2018,201803,March 2018,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,16428397,,,0
HS,2018,201804,April 2018,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,158068676,,,0
HS,2018,201804,April 2018,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12529251,,,0
HS,2018,201805,May 2018,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,153310542,,,0
HS,2018,201805,May 2018,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10111295,,,0
HS,2018,201806,June 2018,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,138556170,,,0
HS,2018,201806,June 2018,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9369652,,,0
HS,2018,201807,July 2018,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,166186049,,,0
HS,2018,201807,July 2018,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,17425818,,,0
HS,2018,201808,August 2018,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,162732634,,,0
HS,2018,201808,August 2018,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12582143,,,0
HS,2018,201809,September 2018,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,358891813,,,0
HS,2018,201809,September 2018,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,7331457,,,0
HS,2018,201810,October 2018,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,168490562,,,0
HS,2018,201810,October 2018,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12256831,,,0
HS,2018,201811,November 2018,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,158612295,,,0
HS,2018,201811,November 2018,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,18988055,,,0
HS,2019,201901,January 2019,0,0,1,Imports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,151356644,,,0
HS,2019,201901,January 2019,0,0,2,Exports,258,French Polynesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5996602,,,0
