Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201103,March 2011,0,0,2,Exports,268,Georgia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,169541981,,,0
HS,2011,201103,March 2011,0,0,3,Re-exports,268,Georgia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35939371,,,0
HS,2011,201108,August 2011,0,0,3,Re-exports,268,Georgia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42086280,,,0
HS,2011,201111,November 2011,0,0,2,Exports,268,Georgia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,198229493,,,0
HS,2011,201101,January 2011,0,0,3,Re-exports,268,Georgia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,31087829,,,0
HS,2011,201101,January 2011,0,0,4,Re-imports,268,Georgia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,165423,,,0
HS,2010,201008,August 2010,0,0,2,Exports,268,Georgia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,121490882,,,0
HS,2010,201009,September 2010,0,0,3,Re-exports,268,Georgia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26905143,,,0
HS,2010,201009,September 2010,0,0,4,Re-imports,268,Georgia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4153,,,0
HS,2010,201001,January 2010,0,0,3,Re-exports,268,Georgia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16529575,,,0
HS,2010,201001,January 2010,0,0,4,Re-imports,268,Georgia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,272336,,,0
HS,2010,201002,February 2010,0,0,3,Re-exports,268,Georgia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14208513,,,0
HS,2010,201002,February 2010,0,0,4,Re-imports,268,Georgia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16000,,,0
