Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201104,April 2011,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,106913471263,,,0
HS,2011,201112,December 2011,0,0,2,Exports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,112232978595,,,0
HS,2010,201012,December 2010,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,90946933677,,,0
HS,2010,201002,February 2010,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,77915230697,,,0
HS,2011,201102,February 2011,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,99360845008,,,0
HS,2008,200804,April 2008,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,110270326942,,,0
HS,2008,200805,May 2008,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,102300731458,,,0
HS,2008,200801,January 2008,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,98169108480,,,0
HS,2009,200905,May 2009,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,68843045558,,,0
HS,2009,200901,January 2009,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,74655932662,,,0
HS,2014,201406,June 2014,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,104424751745,,,0
HS,2014,201412,December 2014,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,87603346624,,,0
HS,2015,201503,March 2015,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,91924220769,,,0
HS,2015,201509,September 2015,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,93606519221,,,0
HS,2016,201604,April 2016,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,89608085075,,,0
HS,2016,201608,August 2016,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,86467519782,,,0
HS,2017,201704,April 2017,0,0,2,Exports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,108461213407,,,0
HS,2018,201812,December 2018,0,0,2,Exports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,109746085588,,,0
HS,2016,201601,January 2016,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,81993655491,,,0
HS,2020,202002,February 2020,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,96933467671,,,0
HS,2022,202201,January 2022,0,0,2,Exports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,124326607391,,,0
HS,2011,201103,March 2011,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,112100363622,,,0
HS,2011,201101,January 2011,0,0,2,Exports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,106464121935,,,0
HS,2011,201101,January 2011,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,93191338084,,,0
HS,2011,201104,April 2011,0,0,2,Exports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,122593530846,,,0
HS,2010,201002,February 2010,0,0,2,Exports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,96223571573,,,0
HS,2009,200902,February 2009,0,0,1,Imports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,70724511491,,,0
HS,2010,201006,June 2010,0,0,2,Exports,276,Germany,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,104702784025,,,0
