Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201009,September 2010,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,638509380,,,0
HS,2010,201009,September 2010,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,523961077,,,0
HS,2011,201107,July 2011,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2226578468,,,0
HS,2011,201101,January 2011,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,851206024,,,0
HS,2010,201006,June 2010,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,745794689,,,0
HS,2011,201109,September 2011,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1573003672,,,0
HS,2011,201110,October 2011,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1765033523,,,0
HS,2011,201106,June 2011,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4734272637,,,0
HS,2019,201904,April 2019,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1058663132,,,0
HS,2019,201909,September 2019,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1137721535,,,0
HS,2019,201901,January 2019,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1254629602,,,0
HS,2019,201907,July 2019,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,816895487,,,0
HS,2018,201810,October 2018,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1117113836,,,0
HS,2018,201807,July 2018,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,902015417,,,0
HS,2018,201807,July 2018,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,977615096,,,0
HS,2018,201802,February 2018,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,870472709,,,0
HS,2018,201803,March 2018,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,936615764,,,0
HS,2018,201804,April 2018,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,946672466,,,0
HS,2018,201808,August 2018,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,925288843,,,0
HS,2018,201809,September 2018,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,721890383,,,0
HS,2019,201908,August 2019,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,779036865,,,0
HS,2017,201702,February 2017,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1122030042,,,0
HS,2016,201602,February 2016,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,965746812,,,0
HS,2016,201602,February 2016,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1158223615,,,0
HS,2016,201604,April 2016,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,944063144,,,0
HS,2016,201603,March 2016,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1056258951,,,0
HS,2016,201606,June 2016,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,974191386,,,0
HS,2017,201705,May 2017,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1315196224,,,0
HS,2013,201304,April 2013,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2647477109,,,0
HS,2018,201801,January 2018,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1015765701,,,0
HS,2018,201812,December 2018,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1012752890,,,0
HS,2018,201811,November 2018,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1142516140,,,0
HS,2018,201811,November 2018,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2002654580,,,0
HS,2016,201610,October 2016,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1036583099,,,0
HS,2015,201512,December 2015,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1074102498,,,0
HS,2015,201511,November 2015,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1527082840,,,0
HS,2014,201408,August 2014,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1216958948,,,0
HS,2014,201405,May 2014,0,0,1,Imports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1575043372,,,0
HS,2015,201501,January 2015,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1046018746,,,0
HS,2014,201401,January 2014,0,0,2,Exports,288,Ghana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1202855487,,,0
