Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201107,July 2011,0,0,1,Imports,300,Greece,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4791302876,,,0
HS,2011,201102,February 2011,0,0,1,Imports,300,Greece,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4178449977,,,0
HS,2011,201105,May 2011,0,0,2,Exports,300,Greece,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2958267339,,,0
HS,2011,201101,January 2011,0,0,2,Exports,300,Greece,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1843142901,,,0
HS,2011,201108,August 2011,0,0,2,Exports,300,Greece,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2447136811,,,0
HS,2010,201010,October 2010,0,0,2,Exports,300,Greece,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2211529460,,,0
HS,2010,201001,January 2010,0,0,1,Imports,300,Greece,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4499238387,,,0
HS,2011,201109,September 2011,0,0,1,Imports,300,Greece,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4434975160,,,0
HS,2010,201007,July 2010,0,0,1,Imports,300,Greece,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3839207813,,,0
HS,2011,201112,December 2011,0,0,1,Imports,300,Greece,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3808431968,,,0
HS,2010,201005,May 2010,0,0,2,Exports,300,Greece,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1624539681,,,0
HS,2011,201111,November 2011,0,0,2,Exports,300,Greece,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2325358351,,,0
HS,2010,201012,December 2010,0,0,1,Imports,300,Greece,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,4003673978,,,0
HS,2012,201201,January 2012,0,0,1,Imports,300,Greece,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,3517500777,,,0
HS,2012,201201,January 2012,0,0,2,Exports,300,Greece,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2085530334,,,0
