Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2009,200903,March 2009,0,0,1,Imports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,45176469,,,0
HS,2009,200903,March 2009,0,0,2,Exports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,24656551,,,0
HS,2009,200904,April 2009,0,0,1,Imports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,40677671,,,0
HS,2009,200904,April 2009,0,0,2,Exports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,25149298,,,0
HS,2009,200908,August 2009,0,0,1,Imports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,56477477,,,0
HS,2009,200908,August 2009,0,0,2,Exports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,33235128,,,0
HS,2009,200909,September 2009,0,0,1,Imports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,126501903,,,0
HS,2009,200909,September 2009,0,0,2,Exports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,35651739,,,0
HS,2010,201004,April 2010,0,0,1,Imports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,61085857,,,0
HS,2010,201004,April 2010,0,0,2,Exports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,23376528,,,0
HS,2010,201005,May 2010,0,0,1,Imports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,66484114,,,0
HS,2010,201005,May 2010,0,0,2,Exports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,30243687,,,0
HS,2010,201006,June 2010,0,0,1,Imports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,79030564,,,0
HS,2010,201006,June 2010,0,0,2,Exports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,31221652,,,0
HS,2012,201204,April 2012,0,0,1,Imports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,47306559,,,0
HS,2012,201204,April 2012,0,0,2,Exports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,23207500,,,0
HS,2012,201212,December 2012,0,0,1,Imports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,103446401,,,0
HS,2013,201303,March 2013,0,0,1,Imports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,44689567,,,0
HS,2013,201303,March 2013,0,0,2,Exports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,25344670,,,0
HS,2014,201408,August 2014,0,0,2,Exports,304,Greenland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,61616960,,,0
