Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201002,February 2010,0,0,1,Imports,308,Grenada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,27214646,,,0
HS,2010,201002,February 2010,0,0,2,Exports,308,Grenada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2146447,,,0
HS,2010,201002,February 2010,0,0,3,Re-exports,308,Grenada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,127367,,,0
HS,2010,201003,March 2010,0,0,1,Imports,308,Grenada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,29975742,,,0
HS,2010,201003,March 2010,0,0,3,Re-exports,308,Grenada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,115513,,,0
HS,2010,201006,June 2010,0,0,1,Imports,308,Grenada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,26147626,,,0
HS,2010,201006,June 2010,0,0,2,Exports,308,Grenada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,2416865,,,0
HS,2011,201101,January 2011,0,0,1,Imports,308,Grenada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,26338393,,,0
HS,2011,201101,January 2011,0,0,2,Exports,308,Grenada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1717503,,,0
HS,2011,201101,January 2011,0,0,3,Re-exports,308,Grenada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,100733,,,0
HS,2011,201102,February 2011,0,0,1,Imports,308,Grenada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,24434419,,,0
HS,2011,201102,February 2011,0,0,2,Exports,308,Grenada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1730448,,,0
HS,2011,201102,February 2011,0,0,3,Re-exports,308,Grenada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,116702,,,0
HS,2011,201103,March 2011,0,0,1,Imports,308,Grenada,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,31783437,,,0
