Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2012,201203,March 2012,0,0,1,Imports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,194154167,,,0
HS,2012,201204,April 2012,0,0,2,Exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,104786617,,,0
HS,2012,201205,May 2012,0,0,2,Exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,101334272,,,0
HS,2012,201206,June 2012,0,0,2,Exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,80576941,,,0
HS,2012,201206,June 2012,0,0,3,Re-exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,4677441,,,0
HS,2012,201207,July 2012,0,0,3,Re-exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1632628,,,0
HS,2012,201211,November 2012,0,0,3,Re-exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,1011172,,,0
HS,2013,201302,February 2013,0,0,1,Imports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,121214425,,,0
HS,2013,201302,February 2013,0,0,2,Exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,65151100,,,0
HS,2013,201302,February 2013,0,0,3,Re-exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1747197,,,0
HS,2013,201303,March 2013,0,0,1,Imports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,130186794,,,0
HS,2013,201304,April 2013,0,0,1,Imports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,156196191,,,0
HS,2013,201306,June 2013,0,0,2,Exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,83514653,,,0
HS,2013,201306,June 2013,0,0,3,Re-exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1084852,,,0
HS,2013,201307,July 2013,0,0,2,Exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,96532670,,,0
HS,2013,201308,August 2013,0,0,1,Imports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,125998295,,,0
HS,2013,201309,September 2013,0,0,1,Imports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,151236853,,,0
HS,2013,201309,September 2013,0,0,3,Re-exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1462850,,,0
HS,2013,201312,December 2013,0,0,3,Re-exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,1200854,,,0
HS,2014,201401,January 2014,0,0,1,Imports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,144136229,,,0
HS,2014,201402,February 2014,0,0,1,Imports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,100642548,,,0
HS,2014,201403,March 2014,0,0,1,Imports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,123191699,,,0
HS,2014,201405,May 2014,0,0,1,Imports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,139040031,,,0
HS,2014,201406,June 2014,0,0,2,Exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,110164895,,,0
HS,2014,201409,September 2014,0,0,1,Imports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,171857046,,,0
HS,2014,201411,November 2014,0,0,2,Exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,93516668,,,0
HS,2014,201412,December 2014,0,0,1,Imports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,175989765,,,0
HS,2014,201412,December 2014,0,0,3,Re-exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,952089,,,0
HS,2015,201501,January 2015,0,0,2,Exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,67112737,,,0
HS,2015,201501,January 2015,0,0,3,Re-exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,2064617,,,0
HS,2015,201503,March 2015,0,0,2,Exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,88320704,,,0
HS,2015,201503,March 2015,0,0,3,Re-exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,944458,,,0
HS,2015,201512,December 2015,0,0,1,Imports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,127464982,,,0
HS,2015,201512,December 2015,0,0,2,Exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,132428215,,,0
HS,2016,201602,February 2016,0,0,1,Imports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,125373870,,,0
HS,2016,201604,April 2016,0,0,1,Imports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,149747263,,,0
HS,2016,201605,May 2016,0,0,3,Re-exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6677239,,,0
HS,2016,201606,June 2016,0,0,2,Exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,114103659,,,0
HS,2016,201606,June 2016,0,0,3,Re-exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,19704083,,,0
HS,2016,201612,December 2016,0,0,2,Exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,171218717,,,0
HS,2017,201702,February 2017,0,0,3,Re-exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,12265968,,,0
HS,2017,201703,March 2017,0,0,3,Re-exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,27747930,,,0
HS,2017,201705,May 2017,0,0,1,Imports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,149727678,,,0
HS,2017,201705,May 2017,0,0,2,Exports,328,Guyana,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,204942757,,,0
