Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2016,201601,January 2016,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,557111329,,,0
HS,2016,201601,January 2016,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,327013693,,,0
HS,2016,201602,February 2016,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,585869525,,,0
HS,2016,201602,February 2016,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,400473928,,,0
HS,2016,201603,March 2016,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,632117726,,,0
HS,2016,201603,March 2016,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,380563275,,,0
HS,2016,201604,April 2016,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,641082720,,,0
HS,2016,201604,April 2016,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,397603819,,,0
HS,2016,201605,May 2016,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,651892518,,,0
HS,2016,201605,May 2016,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,363421477,,,0
HS,2016,201606,June 2016,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,685376291,,,0
HS,2016,201606,June 2016,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,378071915,,,0
HS,2016,201607,July 2016,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,670503779,,,0
HS,2016,201607,July 2016,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,324517384,,,0
HS,2016,201608,August 2016,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,676374396,,,0
HS,2016,201608,August 2016,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,329739479,,,0
HS,2016,201609,September 2016,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,703001255,,,0
HS,2016,201609,September 2016,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,258147498,,,0
HS,2016,201610,October 2016,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,650665323,,,0
HS,2016,201610,October 2016,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,264943580,,,0
HS,2016,201611,November 2016,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,620343879,,,0
HS,2016,201611,November 2016,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,277506583,,,0
HS,2016,201612,December 2016,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,790154611,,,0
HS,2016,201612,December 2016,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,369920146,,,0
HS,2017,201701,January 2017,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,629603533,,,0
HS,2017,201701,January 2017,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,429281141,,,0
HS,2017,201702,February 2017,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,680872346,,,0
HS,2017,201702,February 2017,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,483315224,,,0
HS,2017,201703,March 2017,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,714246258,,,0
HS,2017,201703,March 2017,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,471502770,,,0
HS,2017,201704,April 2017,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,643019889,,,0
HS,2017,201704,April 2017,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,438316127,,,0
HS,2017,201705,May 2017,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,745467345,,,0
HS,2017,201705,May 2017,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,472649645,,,0
HS,2017,201706,June 2017,0,0,1,Imports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,756285024,,,0
HS,2017,201706,June 2017,0,0,2,Exports,340,Honduras,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,446003997,,,0
