Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201012,December 2010,0,0,2,Exports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7861958018,,,0
HS,2010,201012,December 2010,0,0,1,Imports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7293823756,,,0
HS,2011,201106,June 2011,0,0,2,Exports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9495718976,,,0
HS,2010,201008,August 2010,0,0,2,Exports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7428659743,,,0
HS,2010,201008,August 2010,0,0,1,Imports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6929767110,,,0
HS,2010,201007,July 2010,0,0,1,Imports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7197061650,,,0
HS,2010,201007,July 2010,0,0,2,Exports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7510772811,,,0
HS,2010,201001,January 2010,0,0,2,Exports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6966739069,,,0
HS,2011,201109,September 2011,0,0,1,Imports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8852758103,,,0
HS,2011,201112,December 2011,0,0,2,Exports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7870629997,,,0
HS,2012,201201,January 2012,0,0,1,Imports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7666138633,,,0
HS,2012,201201,January 2012,0,0,2,Exports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8207124750,,,0
HS,2012,201202,February 2012,0,0,1,Imports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7964957213,,,0
HS,2012,201202,February 2012,0,0,2,Exports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8866911902,,,0
HS,2012,201203,March 2012,0,0,1,Imports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8585735672,,,0
HS,2012,201204,April 2012,0,0,1,Imports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7597149387,,,0
HS,2012,201206,June 2012,0,0,2,Exports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8805332788,,,0
HS,2012,201210,October 2012,0,0,1,Imports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8801647786,,,0
HS,2012,201210,October 2012,0,0,2,Exports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9604956388,,,0
HS,2012,201212,December 2012,0,0,1,Imports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7003607942,,,0
HS,2012,201212,December 2012,0,0,2,Exports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7164149051,,,0
HS,2017,201702,February 2017,0,0,1,Imports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,7837617693,,,0
HS,2017,201701,January 2017,0,0,2,Exports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8114700156,,,0
HS,2017,201708,August 2017,0,0,2,Exports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9294948889,,,0
HS,2018,201805,May 2018,0,0,2,Exports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10736373687,,,0
HS,2018,201805,May 2018,0,0,1,Imports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10024661351,,,0
HS,2017,201704,April 2017,0,0,2,Exports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8337788069,,,0
HS,2017,201706,June 2017,0,0,1,Imports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,8875946251,,,0
HS,2017,201703,March 2017,0,0,1,Imports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,9238518426,,,0
HS,2019,201907,July 2019,0,0,2,Exports,348,Hungary,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10104635141,,,0
