Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201105,May 2011,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,468946236,,,0
HS,2011,201105,May 2011,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,485496702,,,0
HS,2011,201104,April 2011,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,356352711,,,0
HS,2011,201104,April 2011,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,361831416,,,0
HS,2011,201107,July 2011,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,391635299,,,0
HS,2011,201107,July 2011,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,446319486,,,0
HS,2011,201106,June 2011,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,400817398,,,0
HS,2011,201106,June 2011,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,449712952,,,0
HS,2011,201110,October 2011,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,413679579,,,0
HS,2011,201110,October 2011,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,454411375,,,0
HS,2011,201102,February 2011,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,317170113,,,0
HS,2011,201101,January 2011,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,317470020,,,0
HS,2011,201109,September 2011,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,430212792,,,0
HS,2011,201109,September 2011,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,534817799,,,0
HS,2011,201108,August 2011,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,429312902,,,0
HS,2011,201108,August 2011,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,472493169,,,0
HS,2011,201111,November 2011,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,420614405,,,0
HS,2011,201111,November 2011,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,456868458,,,0
HS,2010,201008,August 2010,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,314100869,,,0
HS,2010,201008,August 2010,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,350484527,,,0
HS,2010,201009,September 2010,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,361673506,,,0
HS,2010,201009,September 2010,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,426024930,,,0
HS,2010,201004,April 2010,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,288221097,,,0
HS,2010,201004,April 2010,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,322295369,,,0
HS,2010,201005,May 2010,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,403572504,,,0
HS,2010,201002,February 2010,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,258025866,,,0
HS,2010,201002,February 2010,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,345285856,,,0
HS,2010,201006,June 2010,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,331114283,,,0
HS,2010,201006,June 2010,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,394059087,,,0
HS,2010,201012,December 2010,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,339648876,,,0
HS,2010,201012,December 2010,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,435646501,,,0
HS,2010,201007,July 2010,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,349251595,,,0
HS,2010,201007,July 2010,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,356183366,,,0
HS,2010,201010,October 2010,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,346208891,,,0
HS,2010,201010,October 2010,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,421104878,,,0
HS,2010,201011,November 2010,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,396420163,,,0
HS,2010,201011,November 2010,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,429291070,,,0
HS,2011,201103,March 2011,0,0,1,Imports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,420954357,,,0
HS,2011,201103,March 2011,0,0,2,Exports,352,Iceland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,510155261,,,0
