Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2011,201108,August 2011,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39985659766,,,0
HS,2011,201108,August 2011,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24544318674,,,0
HS,2011,201105,May 2011,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45253258594,,,0
HS,2011,201109,September 2011,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39752986074,,,0
HS,2011,201109,September 2011,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26128146968,,,0
HS,2011,201110,October 2011,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41176455962,,,0
HS,2011,201107,July 2011,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,41108254451,,,0
HS,2011,201107,July 2011,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26273724082,,,0
HS,2011,201104,April 2011,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36597890052,,,0
HS,2011,201104,April 2011,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23347587631,,,0
HS,2011,201102,February 2011,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32972687141,,,0
HS,2011,201101,January 2011,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,22630985050,,,0
HS,2011,201112,December 2011,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40051118102,,,0
HS,2011,201112,December 2011,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25305574753,,,0
HS,2011,201110,October 2011,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23321133706,,,0
HS,2011,201106,June 2011,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40851752125,,,0
HS,2011,201106,June 2011,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26284475830,,,0
HS,2011,201111,November 2011,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39112007641,,,0
HS,2011,201111,November 2011,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,22985995089,,,0
HS,2012,201201,January 2012,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42946750534,,,0
HS,2012,201203,March 2012,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,28661523678,,,0
HS,2012,201204,April 2012,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23757983784,,,0
HS,2012,201210,October 2012,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24032363411,,,0
HS,2013,201301,January 2013,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,44755872016,,,0
HS,2013,201304,April 2013,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42046670185,,,0
HS,2013,201304,April 2013,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23569092834,,,0
HS,2013,201305,May 2013,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,45194839991,,,0
HS,2013,201305,May 2013,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24147110556,,,0
HS,2012,201212,December 2012,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43050577580,,,0
HS,2013,201306,June 2013,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23364056865,,,0
HS,2013,201307,July 2013,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25319402384,,,0
HS,2013,201307,July 2013,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,38003401795,,,0
HS,2013,201308,August 2013,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36764152751,,,0
HS,2013,201308,August 2013,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26185659298,,,0
HS,2018,201807,July 2018,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,25817052019,,,0
HS,2018,201810,October 2018,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,44129699400,,,0
HS,2020,202002,February 2020,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,27661751302,,,0
HS,2021,202101,January 2021,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,27500549439,,,0
HS,2011,201105,May 2011,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26370509765,,,0
HS,2011,201101,January 2011,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33352783744,,,0
HS,2011,201103,March 2011,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,34268403135,,,0
HS,2011,201103,March 2011,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29838646530,,,0
HS,2011,201102,February 2011,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,22992211637,,,0
HS,2012,201211,November 2012,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23249705248,,,0
HS,2012,201201,January 2012,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25308224345,,,0
HS,2012,201202,February 2012,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25053756818,,,0
HS,2012,201202,February 2012,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40120801150,,,0
HS,2012,201203,March 2012,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42379183132,,,0
HS,2012,201204,April 2012,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,38177938028,,,0
HS,2012,201205,May 2012,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24764065095,,,0
HS,2012,201205,May 2012,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42188355363,,,0
HS,2012,201206,June 2012,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36158347360,,,0
HS,2012,201207,July 2012,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40620106484,,,0
HS,2012,201207,July 2012,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23084859615,,,0
HS,2012,201208,August 2012,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,37308043132,,,0
HS,2012,201208,August 2012,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23134956878,,,0
HS,2012,201209,September 2012,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24861374159,,,0
HS,2012,201209,September 2012,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42051042800,,,0
HS,2014,201406,June 2014,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25904652425,,,0
HS,2014,201405,May 2014,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,27996778468,,,0
HS,2014,201405,May 2014,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39058890226,,,0
HS,2014,201404,April 2014,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35795214101,,,0
HS,2012,201211,November 2012,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40453480622,,,0
HS,2013,201301,January 2013,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25689882200,,,0
HS,2013,201302,February 2013,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26655174016,,,0
HS,2013,201302,February 2013,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40793182112,,,0
HS,2013,201303,March 2013,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40948217073,,,0
HS,2013,201303,March 2013,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,30402513263,,,0
HS,2012,201206,June 2012,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24924934812,,,0
HS,2012,201210,October 2012,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,44242766751,,,0
HS,2012,201212,December 2012,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25428742330,,,0
HS,2013,201306,June 2013,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35851559318,,,0
HS,2013,201309,September 2013,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,34212657333,,,0
HS,2013,201309,September 2013,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,27458796627,,,0
HS,2019,201912,December 2019,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,38580136947,,,0
HS,2013,201310,October 2013,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,27098787394,,,0
HS,2013,201310,October 2013,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,37809183397,,,0
HS,2013,201311,November 2013,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23668510201,,,0
HS,2013,201311,November 2013,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33660319307,,,0
HS,2013,201312,December 2013,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36458538169,,,0
HS,2013,201312,December 2013,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25940847454,,,0
HS,2014,201401,January 2014,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,36173429980,,,0
HS,2014,201401,January 2014,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26339221610,,,0
HS,2021,202106,June 2021,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,32507870904,,,0
HS,2021,202106,June 2021,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,41827791541,,,0
HS,2014,201402,February 2014,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33487275469,,,0
HS,2014,201402,February 2014,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25155921249,,,0
HS,2018,201801,January 2018,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40571442239,,,0
HS,2014,201403,March 2014,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39798096679,,,0
HS,2014,201403,March 2014,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,29559314577,,,0
HS,2014,201406,June 2014,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,38352826502,,,0
HS,2014,201407,July 2014,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,40067031177,,,0
HS,2014,201407,July 2014,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25791698649,,,0
HS,2014,201408,August 2014,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,37473568150,,,0
HS,2014,201408,August 2014,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26804000227,,,0
HS,2014,201409,September 2014,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,43342195119,,,0
HS,2014,201409,September 2014,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,28867511886,,,0
HS,2017,201707,July 2017,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,33822589809,,,0
HS,2014,201410,October 2014,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,39468648258,,,0
HS,2014,201410,October 2014,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,25891318022,,,0
HS,2014,201411,November 2014,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26485131250,,,0
HS,2014,201411,November 2014,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,42721564103,,,0
HS,2014,201412,December 2014,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35334395978,,,0
HS,2014,201412,December 2014,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,26155290676,,,0
HS,2015,201501,January 2015,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,32131165582,,,0
HS,2015,201501,January 2015,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,24252679781,,,0
HS,2015,201502,February 2015,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,28107443830,,,0
HS,2015,201502,February 2015,0,0,2,Exports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,21576297182,,,0
HS,2015,201503,March 2015,0,0,1,Imports,699,India,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,35436290038,,,0
