Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2012,201212,December 2012,0,0,2,Exports,360,Indonesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15393946390,,,0
HS,2012,201212,December 2012,0,0,4,Re-imports,360,Indonesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15130413,,,0
HS,2013,201301,January 2013,0,0,1,Imports,360,Indonesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15450235320,,,0
HS,2013,201301,January 2013,0,0,2,Exports,360,Indonesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15375487857,,,0
HS,2013,201301,January 2013,0,0,4,Re-imports,360,Indonesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,13086053,,,0
HS,2013,201302,February 2013,0,0,1,Imports,360,Indonesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15313285492,,,0
HS,2013,201302,February 2013,0,0,2,Exports,360,Indonesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15015587735,,,0
HS,2013,201302,February 2013,0,0,4,Re-imports,360,Indonesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14500921,,,0
HS,2013,201303,March 2013,0,0,1,Imports,360,Indonesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14887075643,,,0
HS,2013,201303,March 2013,0,0,2,Exports,360,Indonesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,15024577683,,,0
HS,2013,201304,April 2013,0,0,1,Imports,360,Indonesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,16463468661,,,0
HS,2013,201304,April 2013,0,0,4,Re-imports,360,Indonesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,11011393,,,0
HS,2013,201306,June 2013,0,0,4,Re-imports,360,Indonesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14755141,,,0
HS,2013,201307,July 2013,0,0,4,Re-imports,360,Indonesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,23544389,,,0
HS,2013,201308,August 2013,0,0,4,Re-imports,360,Indonesia,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,14261183,,,0
