Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
HS,2010,201001,January 2010,0,0,1,Imports,372,Ireland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5130720817,,,0
HS,2011,201105,May 2011,0,0,4,Re-imports,372,Ireland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,36300545,,,0
HS,2011,201105,May 2011,0,0,1,Imports,372,Ireland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,6345843791,,,0
HS,2011,201102,February 2011,0,0,2,Exports,372,Ireland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,10716250412,,,0
HS,2010,201005,May 2010,0,0,4,Re-imports,372,Ireland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,37306792,,,0
HS,2010,201010,October 2010,0,0,1,Imports,372,Ireland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,5576731574,,,0
HS,2011,201108,August 2011,0,0,4,Re-imports,372,Ireland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,36617098,,,0
HS,2011,201109,September 2011,0,0,4,Re-imports,372,Ireland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,40004866,,,0
HS,2011,201109,September 2011,0,0,1,Imports,372,Ireland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,5782365483,,,0
HS,2011,201112,December 2011,0,0,1,Imports,372,Ireland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,6024186301,,,0
HS,2016,201601,January 2016,0,0,2,Exports,372,Ireland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,9657721234,,,0
HS,2017,201708,August 2017,0,0,2,Exports,372,Ireland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11353663069,,,0
HS,2012,201203,March 2012,0,0,2,Exports,372,Ireland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,0,,11520199234,,,0
HS,2015,201512,December 2015,0,0,2,Exports,372,Ireland,,0,World,,,,,,,,,TOTAL,All Commodities,,,,,,,,,10061768872,,,0
